,source,target,following,followed_by
0,610026759,18932422,False,False
0,610026759,132646210,False,True
0,610026759,15750573,False,False
0,610026759,19659370,False,False
0,610026759,3036907250,False,False
0,2859068332,18932422,False,False
0,2859068332,132646210,False,False
0,2859068332,15750573,False,False
0,2859068332,19659370,False,True
0,2859068332,3036907250,False,False
0,259403751,18932422,False,True
0,259403751,132646210,False,False
0,259403751,15750573,False,False
0,259403751,19659370,False,False
0,259403751,3036907250,False,False
0,188756842,18932422,False,False
0,188756842,132646210,False,False
0,188756842,15750573,False,False
0,188756842,19659370,True,False
0,188756842,3036907250,False,False
0,114738098,18932422,False,False
0,114738098,132646210,False,False
0,114738098,15750573,False,False
0,114738098,19659370,True,False
0,114738098,3036907250,False,False
0,92071137,18932422,False,True
0,92071137,132646210,True,True
0,92071137,15750573,False,False
0,92071137,19659370,True,True
0,92071137,3036907250,False,False
0,130667410,18932422,False,False
0,130667410,132646210,False,False
0,130667410,15750573,True,False
0,130667410,19659370,False,False
0,130667410,3036907250,False,False
0,821769650211930112,18932422,False,False
0,821769650211930112,132646210,False,False
0,821769650211930112,15750573,False,False
0,821769650211930112,19659370,True,False
0,821769650211930112,3036907250,False,False
0,234017215,18932422,False,False
0,234017215,132646210,True,True
0,234017215,15750573,False,False
0,234017215,19659370,False,False
0,234017215,3036907250,False,False
0,711331579449073665,18932422,False,False
0,711331579449073665,132646210,False,False
0,711331579449073665,15750573,False,False
0,711331579449073665,19659370,False,False
0,711331579449073665,3036907250,False,False
0,237738266,18932422,True,True
0,237738266,132646210,False,False
0,237738266,15750573,False,False
0,237738266,19659370,False,False
0,237738266,3036907250,False,False
0,1031837755234549760,18932422,False,False
0,1031837755234549760,132646210,False,True
0,1031837755234549760,15750573,False,False
0,1031837755234549760,19659370,False,False
0,1031837755234549760,3036907250,False,False
0,11010332,18932422,False,False
0,11010332,132646210,False,False
0,11010332,15750573,False,False
0,11010332,19659370,False,True
0,11010332,3036907250,False,False
0,512191023,18932422,False,False
0,512191023,132646210,False,False
0,512191023,15750573,False,False
0,512191023,19659370,True,False
0,512191023,3036907250,False,False
0,47681517,18932422,False,False
0,47681517,132646210,True,False
0,47681517,15750573,False,False
