,Follower,Following
0,338989477,3036907250
0,1187585868493537280,3036907250
0,39697728,3036907250
0,1265795638551212032,3036907250
0,184125091,3036907250
0,343587148,3036907250
0,2444133930,3036907250
0,839139788846411777,3036907250
0,2417892751,3036907250
0,1111315973125169152,3036907250
0,1195044761322823680,3036907250
0,116897811,3036907250
0,1156797119149121541,3036907250
0,911963260005552128,3036907250
0,20356196,3036907250
0,48677032,3036907250
0,157920406,3036907250
0,391867472,3036907250
0,514667085,3036907250
0,1264438328,3036907250
0,18874262,3036907250
0,393675585,3036907250
0,249661913,3036907250
0,2382305514,3036907250
0,350164545,3036907250
0,130671142,3036907250
0,270044784,3036907250
0,954235769618538496,3036907250
0,16868154,3036907250
0,59217922,3036907250
0,934851466082357249,3036907250
0,94732055,3036907250
0,707112185076391936,3036907250
0,947311503216066560,3036907250
0,458399248,3036907250
0,78969930,3036907250
0,4053818032,3036907250
0,406303880,3036907250
0,132646210,3036907250
0,14451127,3036907250
0,3102522680,3036907250
0,3033312071,3036907250
0,854719703545253888,3036907250
0,50414506,3036907250
0,894723591446687745,3036907250
0,2309104237,3036907250
0,15455450,3036907250
0,1477918760,3036907250
0,125483940,3036907250
0,1527607790,3036907250
0,436609034,3036907250
0,308456550,3036907250
0,810893744593584128,3036907250
0,822183485523841025,3036907250
0,18932422,3036907250
0,1483247714,3036907250
0,341000847,3036907250
0,735809541456027648,3036907250
0,824668943285702661,3036907250
0,824812182114164736,3036907250
0,2190533245,3036907250
0,2601589496,3036907250
0,788839271239184385,3036907250
0,15750573,3036907250
0,271485168,3036907250
0,696907754275930112,3036907250
0,4663308149,3036907250
0,1978351027,3036907250
0,701026341500690432,3036907250
0,829903626,3036907250
0,4645255754,3036907250
0,1479360883,3036907250
0,118412527,3036907250
0,2798157850,3036907250
0,3270447613,3036907250
0,408717162,3036907250
0,3293206151,3036907250
0,3201975988,3036907250
0,1367458171,3036907250
0,3240349167,3036907250
0,3038714572,3036907250
0,3081160595,3036907250
0,2969887354,3036907250
0,2877269332,3036907250
0,2208838112,3036907250
0,3077138539,3036907250
0,3083042302,3036907250
0,263265080,3036907250
