,Follower,Following
0,435079885,2309104237
0,1063000622897729537,2309104237
0,801732645931667457,2309104237
0,810893744593584128,2309104237
0,10826422,2309104237
0,1713619561,2309104237
0,745957370346508288,2309104237
0,832918496,2309104237
0,396680992,2309104237
0,1112691864,2309104237
0,160996055,270044784
0,862831980177575936,270044784
0,17645146,270044784
0,155533839,270044784
0,3988486737,270044784
0,1010210409520001025,270044784
0,71268692,270044784
0,4894627600,270044784
0,36133587,270044784
0,1117186586041638917,270044784
0,101045085,18932422
0,18417153,18932422
0,40030538,18932422
0,485865743,18932422
0,2515540081,18932422
0,193309907,18932422
0,3130548765,18932422
0,3331252607,18932422
0,54875928,18932422
0,3035143127,18932422
0,15901029,3240349167
0,2850020860,3240349167
0,2715782657,3240349167
0,2733905042,3240349167
0,3245138003,3240349167
0,3257372688,3240349167
0,3318395852,3240349167
0,713145511075844096,3240349167
0,1925296938,3240349167
0,33289053,3240349167
0,3103614593,408717162
0,3893886502,408717162
0,2354714746,408717162
0,47947740,408717162
0,478249337,408717162
0,2916720407,408717162
0,105664368,408717162
0,1506135182,408717162
0,3008433351,408717162
0,2790284310,408717162
0,2190533245,239304168
0,2190533245,3781289841
0,2190533245,561201648
0,2190533245,782213874
0,2190533245,537484866
0,2190533245,81157486
0,2190533245,780612086795636736
0,2190533245,184032232
0,2190533245,4817224649
0,2190533245,316651357
0,2347049341,147540926
0,2347049341,251767189
0,2347049341,2937648982
0,2347049341,82212001
0,2347049341,467685277
0,2347049341,14069282
0,2347049341,55119016
0,2347049341,68825681
0,2347049341,957323252187172864
0,2347049341,523332812
0,966411199649808386,1046859517235990530
0,966411199649808386,248135933
0,966411199649808386,19677430
0,966411199649808386,2273201773
0,966411199649808386,204824261
0,966411199649808386,573460891
0,966411199649808386,239722311
0,966411199649808386,40576466
0,966411199649808386,26711278
0,966411199649808386,25134469
0,58160853,49004208
0,58160853,33196091
0,58160853,34743251
0,58160853,405624426
0,58160853,262145277
0,58160853,109031423
0,58160853,231094734
0,58160853,820041452
0,58160853,3442271
0,58160853,274092495
0,85648537,14771839
0,85648537,392068804
0,85648537,249897667
0,85648537,96135022
0,85648537,2379462614
0,85648537,89217203
0,85648537,98910883
0,85648537,472562889
0,85648537,2895770934
0,85648537,759553892
