,Follower,Following
0,1118909833942577153,15750573
0,2572511777,15750573
0,1972411447,15750573
0,369085369,15750573
0,1320653768346816512,15750573
0,1218287414965350401,15750573
0,93781753,15750573
0,700064764,15750573
0,778856886,15750573
0,132646210,15750573
0,1064203950717583360,15750573
0,1084900963306098689,15750573
0,1037864733360226304,15750573
0,1035807940719112192,15750573
0,1023655925742268426,15750573
0,1401748656,15750573
0,3036907250,15750573
0,959849838212014081,15750573
0,636089336,15750573
0,390380093,15750573
0,844218954088435712,15750573
0,194989299,15750573
0,948483885209477121,15750573
0,898161154169679873,15750573
0,71502653,15750573
0,918798040282091520,15750573
0,920563781616496641,15750573
0,945020688,15750573
0,780874432927719424,15750573
0,903217429555359744,15750573
0,899166691652972544,15750573
0,897568340075479040,15750573
0,896676717603028992,15750573
0,884047713372975104,15750573
0,866900373302378503,15750573
0,860098587287588864,15750573
0,731124359117590528,15750573
0,859698369765179392,15750573
0,85813091,15750573
0,2321117354,15750573
0,2321117354,15750573
0,857570979022876672,15750573
0,2636910597,15750573
0,852054291049316352,15750573
0,1653261366,15750573
0,848152044137574401,15750573
0,3512256616,15750573
0,839446682819563520,15750573
0,838141984053284864,15750573
0,838131126002728960,15750573
0,151581782,15750573
0,832361946154401792,15750573
0,828683626372009985,15750573
0,3030560968,15750573
0,1377476875,15750573
0,4707064313,15750573
0,824249522389970944,15750573
0,822933216206188544,15750573
0,14359747,15750573
0,806101991109890048,15750573
0,806101991109890048,15750573
0,717756832240902144,15750573
0,796368494342316032,15750573
0,787338664477134848,15750573
0,790342394675888128,15750573
0,780788089966829568,15750573
0,789736108896751616,15750573
0,788839271239184385,15750573
0,2544161559,15750573
0,748179418397421568,15750573
0,780174132,15750573
0,68351679,15750573
0,744114034660773888,15750573
0,65587580,15750573
0,398537509,15750573
0,739565869433524225,15750573
0,720750427147341824,15750573
0,1904734980,15750573
0,3025618094,15750573
0,882605036,15750573
0,713395522095210496,15750573
0,712614852263542784,15750573
0,943676329,15750573
0,737882640,15750573
0,714365137365426176,15750573
0,714783310954774529,15750573
0,436122215,15750573
0,706431707885477888,15750573
0,705504146808565760,15750573
0,4928034543,15750573
0,702513144782950400,15750573
0,3237012607,15750573
0,1582911193,15750573
0,4854858064,15750573
0,4739335047,15750573
0,4718039356,15750573
0,3988215194,15750573
0,4385501957,15750573
0,334516778,15750573
0,3892691301,15750573
0,3751854082,15750573
0,203866616,15750573
0,520133735,15750573
0,3319270312,15750573
0,476514758,15750573
0,469115517,15750573
0,406260699,15750573
0,3242397351,15750573
0,52059998,15750573
0,3293206151,15750573
0,1605423500,15750573
0,3226059106,15750573
0,3197088767,15750573
0,3165380261,15750573
0,1351611290,15750573
0,2881046435,15750573
0,54541583,15750573
0,3007913925,15750573
0,2987533553,15750573
0,2328843320,15750573
0,2900424513,15750573
0,2895307672,15750573
0,2785709353,15750573
0,852962413,15750573
0,2872651869,15750573
0,2797743527,15750573
0,517818047,15750573
0,2803495736,15750573
0,628623778,15750573
0,487786548,15750573
0,2176025565,15750573
0,2754814433,15750573
0,1728885823,15750573
0,2754412213,15750573
0,2607919231,15750573
0,2735046987,15750573
0,2714310207,15750573
0,436837074,15750573
0,202626872,15750573
0,377344523,15750573
0,6979832,15750573
0,1004615060,15750573
0,2525616956,15750573
0,2560958309,15750573
0,234070123,15750573
0,2544647385,15750573
0,2244880545,15750573
0,1556357336,15750573
0,147299961,15750573
0,2381066016,15750573
0,256353770,15750573
0,1497795582,15750573
0,1269448278,15750573
0,2328954662,15750573
0,2147987488,15750573
0,944443345,15750573
0,51023058,15750573
0,348011201,15750573
0,1877046548,15750573
0,358026989,15750573
0,1934192923,15750573
0,809193212,15750573
0,1677808003,15750573
0,1629889939,15750573
0,1620225060,15750573
0,1578022897,15750573
0,1280804221,15750573
0,1523858262,15750573
0,121492869,15750573
0,1109067043,15750573
0,39721490,15750573
0,299659731,15750573
0,1043021486,15750573
0,1079473267,15750573
0,1284129738,15750573
0,375820392,15750573
0,1074807847,15750573
0,1202308734,15750573
0,1148229403,15750573
0,184817606,15750573
0,1089302341,15750573
0,1037384052,15750573
0,104633187,15750573
0,1009253378,15750573
0,960887748,15750573
0,934228950,15750573
0,904174368,15750573
0,925220088,15750573
0,370102769,15750573
0,294119630,15750573
0,851254609,15750573
0,419946721,15750573
0,174991185,15750573
0,436038865,15750573
0,579115459,15750573
0,803003521,15750573
0,8762122,15750573
0,220017829,15750573
0,39618125,15750573
0,190161488,15750573
0,616572834,15750573
0,586366163,15750573
0,343998886,15750573
0,150732625,15750573
0,624208322,15750573
0,616564407,15750573
0,420316063,15750573
0,449616976,15750573
0,96127287,15750573
0,544360896,15750573
0,577243493,15750573
0,150346051,15750573
0,73926321,15750573
0,479798490,15750573
0,566703294,15750573
0,563979425,15750573
0,441676899,15750573
0,293483941,15750573
0,540985738,15750573
0,253973566,15750573
0,106505501,15750573
0,555461978,15750573
0,262236415,15750573
0,417189950,15750573
0,482995387,15750573
0,66821479,15750573
0,24932781,15750573
0,464907377,15750573
0,527454176,15750573
0,469631198,15750573
0,394665897,15750573
0,377571301,15750573
0,220020080,15750573
0,67383602,15750573
0,304540433,15750573
0,384759698,15750573
0,315707871,15750573
0,197623145,15750573
0,450594910,15750573
0,403677666,15750573
0,409166947,15750573
0,176870844,15750573
0,277667306,15750573
0,102609059,15750573
0,79764713,15750573
0,123678691,15750573
0,146116918,15750573
0,130667410,15750573
0,136142062,15750573
0,119406189,15750573
0,122408887,15750573
0,114782375,15750573
0,107751300,15750573
0,95745203,15750573
0,95267165,15750573
0,84854764,15750573
0,85700509,15750573
0,85428593,15750573
0,79128388,15750573
0,83566575,15750573
0,58558979,15750573
0,61187211,15750573
0,15657398,15750573
0,50607971,15750573
0,65468350,15750573
0,65423884,15750573
0,63051202,15750573
0,62952214,15750573
0,52671862,15750573
0,14183423,15750573
0,59913797,15750573
0,55612967,15750573
0,40903402,15750573
0,52414554,15750573
0,37139722,15750573
0,45101319,15750573
0,46092394,15750573
0,47567281,15750573
0,73343,15750573
0,33168385,15750573
0,33105342,15750573
0,46394850,15750573
0,16113777,15750573
0,46508246,15750573
0,25860326,15750573
0,20460664,15750573
0,26329801,15750573
0,43526978,15750573
0,40380303,15750573
0,24888653,15750573
0,15862919,15750573
0,42614814,15750573
0,36049907,15750573
0,38277726,15750573
0,32246103,15750573
0,44652450,15750573
0,44595708,15750573
0,26549850,15750573
0,37048037,15750573
0,39781270,15750573
0,39889364,15750573
0,43926213,15750573
0,43961874,15750573
0,30030112,15750573
0,34690221,15750573
0,43839644,15750573
0,36347948,15750573
0,37105355,15750573
0,33677856,15750573
0,19710651,15750573
0,28077022,15750573
0,26212951,15750573
0,17917382,15750573
0,27007409,15750573
0,28316908,15750573
0,27018274,15750573
0,16079826,15750573
0,17955611,15750573
0,20605844,15750573
0,19395637,15750573
0,18238570,15750573
0,15637569,15750573
0,16739331,15750573
0,16684149,15750573
0,16611773,15750573
0,7170002,15750573
0,14957053,15750573
0,12243,15750573
0,16136478,15750573
0,12486432,15750573
0,6107292,15750573
0,5869132,15750573
0,5894962,15750573
0,813286,15750573
0,15750573,20747847
0,15750573,700064764
0,15750573,778856886
0,15750573,19659370
0,15750573,132646210
0,15750573,1556357336
0,15750573,1111315973125169152
0,15750573,93618186
0,15750573,2754412213
0,15750573,59414975
0,15750573,333410580
0,15750573,26280712
0,15750573,348506984
0,15750573,388212968
0,15750573,3092629269
0,15750573,117652722
0,15750573,1048018930785083392
0,15750573,752743856941125632
0,15750573,791230655367700480
0,15750573,1401748656
0,15750573,2388819163
0,15750573,406869976
0,15750573,90830802
0,15750573,196476038
0,15750573,705427898749079552
0,15750573,44196397
0,15750573,772871943577931776
0,15750573,945020688
0,15750573,897568340075479040
0,15750573,896676717603028992
0,15750573,860098587287588864
0,15750573,115180931
0,15750573,14146389
0,15750573,24160034
0,15750573,334678478
0,15750573,731124359117590528
0,15750573,857570979022876672
0,15750573,571202103
0,15750573,1653261366
0,15750573,3030560968
0,15750573,822933216206188544
0,15750573,718108213078568960
0,15750573,224466293
0,15750573,314430404
0,15750573,1935675295
0,15750573,65184105
0,15750573,188233241
0,15750573,780874432927719424
0,15750573,3036907250
0,15750573,1109067043
0,15750573,748179418397421568
0,15750573,2328954662
0,15750573,142837256
0,15750573,1582911193
0,15750573,540259669
0,15750573,2544647385
0,15750573,203866616
0,15750573,3751854082
0,15750573,59273937
0,15750573,346742249
0,15750573,2887723143
0,15750573,3226059106
0,15750573,1023096199
0,15750573,517818047
0,15750573,52059998
0,15750573,31422403
0,15750573,15578992
0,15750573,2785709353
0,15750573,14749606
0,15750573,234070123
0,15750573,2244880545
0,15750573,316386106
0,15750573,1095972841
0,15750573,944443345
0,15750573,51023058
0,15750573,354847710
0,15750573,1877046548
0,15750573,358026989
0,15750573,1725341478
0,15750573,2147987488
0,15750573,1934192923
0,15750573,38190507
0,15750573,1629889939
0,15750573,246318475
0,15750573,1620225060
0,15750573,934228950
0,15750573,188723124
0,15750573,1578022897
0,15750573,1043021486
0,15750573,299659731
0,15750573,29716049
0,15750573,1074807847
0,15750573,1193486898
0,15750573,506166021
0,15750573,1148229403
0,15750573,110509537
0,15750573,509162767
0,15750573,1037384052
0,15750573,960887748
0,15750573,253046215
0,15750573,433226744
0,15750573,904174368
0,15750573,36094947
0,15750573,334170116
0,15750573,182486010
0,15750573,537014740
0,15750573,16953723
0,15750573,579842788
0,15750573,452570555
0,15750573,294119630
0,15750573,851254609
0,15750573,579115459
