,Follower,Following
0,276761737,59913797
0,119438382,59913797
0,38333555,59913797
0,102121875,59913797
0,115340223,59913797
0,15446034,59913797
0,978272886795448321,59913797
0,32539619,59913797
0,16832632,59913797
0,130146132,59913797
0,406545803,3226059106
0,238742992,3226059106
0,465839332,3226059106
0,599456533,3226059106
0,2990200295,3226059106
0,144821473,3226059106
0,103833877,3226059106
0,2349084513,3226059106
0,17387363,3226059106
0,718108213078568960,3226059106
0,39278373,39889364
0,29066677,39889364
0,24825275,39889364
0,34882518,39889364
0,21638088,39889364
0,55874681,39889364
0,15651647,39889364
0,41623446,39889364
0,41558966,39889364
0,18953622,39889364
0,26539716,43961874
0,19130956,43961874
0,37185543,43961874
0,51373649,43961874
0,23494977,43961874
0,165121032,43961874
0,22440317,43961874
0,68430266,43961874
0,23388766,43961874
0,178181526,43961874
0,4866100239,469115517
0,1591530000,469115517
0,1316804796,469115517
0,541059942,469115517
0,2972246873,469115517
0,1877046548,469115517
0,370102769,469115517
0,1096630273,469115517
0,2884000083,469115517
0,350859531,469115517
0,370102769,44196397
0,370102769,2307306663
0,370102769,380361083
0,370102769,4484030536
0,370102769,451287346
0,370102769,602581565
0,370102769,509162767
0,370102769,344000623
0,370102769,396764199
0,370102769,357117681
0,385339360,128880692
0,385339360,46970574
0,385339360,15962096
0,385339360,21158690
0,385339360,153811855
0,385339360,400025664
0,385339360,118430410
0,385339360,12944132
0,385339360,43940957
0,385339360,119359393
0,262236415,2203738120
0,262236415,897568340075479040
0,262236415,13201312
0,262236415,479538809
0,262236415,610363916
0,262236415,500711588
0,262236415,14647570
0,262236415,1625510558
0,262236415,944443345
0,262236415,535205576
0,42909798,14992765
0,42909798,229200561
0,42909798,2397804493
0,42909798,15254807
0,42909798,372498499
0,42909798,141900406
0,42909798,330486834
0,42909798,254200062
0,42909798,557863290
0,42909798,44578998
0,186404598,156212145
0,186404598,14627145
0,186404598,125123042
0,186404598,15916630
0,186404598,1126222350
0,186404598,296730032
0,186404598,45022448
0,186404598,33475651
0,186404598,307393119
0,186404598,21288052
