,Follower,Following
0,27897414,132646210
0,1371476814,132646210
0,994300581291282432,132646210
0,108207407,132646210
0,1319272146963673089,132646210
0,1313137113454579717,132646210
0,1301869598481014787,132646210
0,1046614848,132646210
0,2893424886,132646210
0,14616323,132646210
0,2842688136,132646210
0,1256240551118200835,132646210
0,1276832114856656896,132646210
0,301709965,132646210
0,632815919,132646210
0,748176824,132646210
0,1535439446,132646210
0,18202677,132646210
0,1233080567727521792,132646210
0,257111136,132646210
0,1232460508160094209,132646210
0,2981463028,132646210
0,2960317030,132646210
0,181348220,132646210
0,1369078711,132646210
0,22585506,132646210
0,48677032,132646210
0,433873132,132646210
0,167735563,132646210
0,1081076050061213697,132646210
0,1306824555420213249,132646210
0,1064940934528421888,132646210
0,544875915,132646210
0,37162329,132646210
0,1287104705185939456,132646210
0,354009660,132646210
0,915167646240325632,132646210
0,1556357336,132646210
0,961808198,132646210
0,18417153,132646210
0,1245923843119575041,132646210
0,623575404,132646210
0,1182908622113660929,132646210
0,1212987379692081153,132646210
0,103835763,132646210
0,1609328383,132646210
0,1690763647,132646210
0,75525450,132646210
0,1052291485901697024,132646210
0,1289974182755762176,132646210
0,778856886,132646210
0,15750573,132646210
0,2867784412,132646210
0,2186834214,132646210
0,1280838371682779136,132646210
0,812055605510803456,132646210
0,11773812,132646210
0,948669952843595776,132646210
0,925565433679298560,132646210
0,103761767,132646210
0,301178769,132646210
0,1168926603855958017,132646210
0,2451712820,132646210
0,484733763,132646210
0,1228678952,132646210
0,1168865024674357248,132646210
0,87473622,132646210
0,193935341,132646210
0,229601276,132646210
0,702309206,132646210
0,160246849,132646210
0,1019194066855006208,132646210
0,1265795638551212032,132646210
0,831290691712004096,132646210
0,1253984770083692544,132646210
0,4890000754,132646210
0,1251059396991311872,132646210
0,1251108504653361152,132646210
0,1251034648492138498,132646210
0,1251232344947613701,132646210
0,1251073078211178496,132646210
0,1077734311799984128,132646210
0,1255539999467958272,132646210
0,101818541,132646210
0,61143806,132646210
0,33970089,132646210
0,1214864022572425217,132646210
0,15455450,132646210
0,814980524200566784,132646210
0,1148595838664552451,132646210
0,251614179,132646210
0,1238826270,132646210
0,755513278625898496,132646210
0,1245061044847947777,132646210
0,2522143308,132646210
0,114146587,132646210
0,1605951265,132646210
0,6355402,132646210
0,998681467696885761,132646210
0,38048603,132646210
0,906922846412267521,132646210
0,25037133,132646210
0,918943909811769344,132646210
0,47681517,132646210
0,1204339794471538688,132646210
0,1219230275198058497,132646210
0,1171878193114025987,132646210
0,15068044,132646210
0,427330274,132646210
0,247943231,132646210
0,2604894992,132646210
0,1582645148,132646210
0,828064288417779712,132646210
0,1187585868493537280,132646210
0,154138518,132646210
0,84036295,132646210
0,2492690671,132646210
0,2424680826,132646210
0,1194379349803319298,132646210
0,299807081,132646210
0,1070352023449669632,132646210
0,15159648,132646210
0,1110855455696314368,132646210
0,1054280867512705025,132646210
0,3128829965,132646210
0,2343425496,132646210
0,515192228,132646210
0,409922330,132646210
0,131111665,132646210
0,13360372,132646210
0,1178221893616308224,132646210
0,87242603,132646210
0,4188048952,132646210
0,19659370,132646210
0,1183933523129970689,132646210
0,4460137405,132646210
0,87985586,132646210
0,1179011991563915264,132646210
0,618193431,132646210
0,790451965,132646210
0,1168762828607508480,132646210
0,1111730640762875907,132646210
0,1067977726118682625,132646210
0,1155634482629791746,132646210
0,975115762712096768,132646210
0,533584357,132646210
0,1169945329053130753,132646210
0,807251568961744896,132646210
0,760799156256382976,132646210
0,1166366776625467393,132646210
0,743908703863083008,132646210
0,305474242,132646210
0,896036165350019073,132646210
0,996170598056263683,132646210
0,234321271,132646210
0,1099250750155354114,132646210
0,874632132353826816,132646210
0,711001600567828481,132646210
0,6459362,132646210
0,1930184042,132646210
0,928151539893420032,132646210
0,849902720827875330,132646210
0,188029486,132646210
0,242868086,132646210
0,2983902143,132646210
0,320568816,132646210
0,20926161,132646210
0,78269677,132646210
0,185263153,132646210
0,54580934,132646210
0,899783769854320640,132646210
0,18874262,132646210
0,1141316975324536832,132646210
0,125721127,132646210
0,17018894,132646210
0,86754006,132646210
0,1144823372158767104,132646210
0,1033944831918104576,132646210
0,1094001009188397057,132646210
0,22132438,132646210
0,1017171853914333185,132646210
0,3230093066,132646210
0,1166221754,132646210
0,1120424520773505028,132646210
0,1081289442671902720,132646210
0,758771866500816896,132646210
0,1014561,132646210
0,1121364987178618880,132646210
0,82364810,132646210
0,82541893,132646210
0,1114432920121376768,132646210
0,774324193928351744,132646210
0,2874803443,132646210
0,1108685535088771073,132646210
0,50706020,132646210
0,1267637312,132646210
0,1107588341124337666,132646210
0,1107254048896548864,132646210
0,4793796869,132646210
0,871920132641173504,132646210
0,1102341617371963392,132646210
0,1101500498564313090,132646210
0,156322219,132646210
0,82774113,132646210
0,70900164,132646210
0,3775401076,132646210
0,59217922,132646210
0,193309907,132646210
0,4228354103,132646210
0,3305766383,132646210
0,1090911182591086592,132646210
0,563947963,132646210
0,822431809,132646210
0,904533569749508097,132646210
0,9719522,132646210
0,1081241209622822913,132646210
0,224209816,132646210
0,3232640646,132646210
0,1077863989202247681,132646210
0,243082126,132646210
0,2882893927,132646210
0,822405576504344576,132646210
0,1721425735,132646210
0,308799838,132646210
0,827392886,132646210
0,713164296604090368,132646210
0,1477918760,132646210
0,1065937815022837760,132646210
0,272376633,132646210
0,514667085,132646210
0,761153954809913344,132646210
0,108989193,132646210
0,6778812,132646210
0,1040575154424893441,132646210
0,101711550,132646210
0,1471694196,132646210
0,49911968,132646210
0,257691637,132646210
0,778982023415291904,132646210
0,870764041660190720,132646210
0,4694535756,132646210
0,40576466,132646210
0,13568892,132646210
0,78969930,132646210
0,2165646554,132646210
0,2279201814,132646210
0,130671142,132646210
0,1019221160742014976,132646210
0,2336440088,132646210
0,947311503216066560,132646210
0,876785354,132646210
0,1016764586228412421,132646210
0,1014974716359081988,132646210
0,28776166,132646210
0,3865043177,132646210
0,327301533,132646210
0,53250831,132646210
0,2309104237,132646210
0,75392682,132646210
0,3272004860,132646210
0,822367881547550720,132646210
0,1255799724,132646210
0,998279534947586048,132646210
0,3332231,132646210
0,994886035086761984,132646210
0,2608840453,132646210
0,777648349,132646210
0,972987874613366784,132646210
0,920700510306529280,132646210
0,1426135280,132646210
0,984208484328763395,132646210
0,374433827,132646210
0,360783415,132646210
0,14417382,132646210
0,709493676121042945,132646210
0,3036907250,132646210
0,984363152958685184,132646210
0,4652730673,132646210
0,15675384,132646210
0,19626509,132646210
0,874530424575336449,132646210
0,946591233954033664,132646210
0,44583317,132646210
0,972494379754688518,132646210
0,36966461,132646210
0,109399833,132646210
0,934851466082357249,132646210
0,4770618972,132646210
0,969392138076041216,132646210
0,4712272236,132646210
0,955493794669121537,132646210
0,200466843,132646210
0,580335026,132646210
0,950072183031771136,132646210
0,949642445083459585,132646210
0,3033312071,132646210
0,838701223113068544,132646210
0,942684527754989568,132646210
0,9180262,132646210
0,936713855878787074,132646210
0,940901351759994880,132646210
0,2310390416,132646210
0,885944485615738881,132646210
0,90109488,132646210
0,911514942335012864,132646210
0,4897300665,132646210
0,2462926410,132646210
0,923649456981135367,132646210
0,809848752,132646210
0,34642043,132646210
0,608052226,132646210
0,917738789233217536,132646210
0,37069005,132646210
0,45412709,132646210
0,195719387,132646210
0,716947512154853376,132646210
0,429259920,132646210
0,269930404,132646210
0,370597692,132646210
0,14978945,132646210
0,125483940,132646210
0,94732055,132646210
0,889657085868298240,132646210
0,889461651673690112,132646210
0,33113669,132646210
0,2252260178,132646210
0,872544691442466816,132646210
0,891193292385288193,132646210
0,890413838578966528,132646210
0,3310895591,132646210
0,887627169765130241,132646210
0,1598324696,132646210
0,880523990883848192,132646210
0,3406278903,132646210
0,2289023460,132646210
0,877823703249068032,132646210
0,873162092819488769,132646210
0,78269397,132646210
0,14451127,132646210
0,2613410444,132646210
0,838930153665363968,132646210
0,151490538,132646210
0,837214523547353089,132646210
0,341000847,132646210
0,66722583,132646210
0,856509174473248768,132646210
0,709476815090413568,132646210
0,3102522680,132646210
0,771681197781053440,132646210
0,810893744593584128,132646210
0,1557796237,132646210
0,327066310,132646210
0,850170113504325632,132646210
0,4874161629,132646210
0,14294701,132646210
0,245345590,132646210
0,26240101,132646210
0,36927290,132646210
0,839149376643686401,132646210
0,434835815,132646210
0,832267168276475904,132646210
0,833624768800817152,132646210
0,831393481465556992,132646210
0,781751446362468353,132646210
0,801059640951836672,132646210
0,824886467721703425,132646210
0,101353399,132646210
0,20314655,132646210
0,824812182114164736,132646210
0,3902819477,132646210
0,821666958680719361,132646210
0,1409748306,132646210
0,44871098,132646210
0,1053292116,132646210
0,121709074,132646210
0,848687484,132646210
0,1086604922,132646210
0,16549460,132646210
0,14794109,132646210
0,289560192,132646210
0,188221066,132646210
0,2579832252,132646210
0,2190533245,132646210
0,253734620,132646210
0,774076183461892096,132646210
0,54875928,132646210
0,4347423515,132646210
0,12414242,132646210
0,4873684235,132646210
0,173431194,132646210
0,356775978,132646210
0,789107706397196288,132646210
0,84060395,132646210
0,717348489215262724,132646210
0,256644046,132646210
0,771427581992185856,132646210
0,771036399671705600,132646210
0,769823624308092928,132646210
0,23761309,132646210
0,2373145729,132646210
0,16514335,132646210
0,406303880,132646210
0,2475572071,132646210
0,748525684578914304,132646210
0,11235202,132646210
0,742643587108605952,132646210
0,4485809179,132646210
0,725639768663576576,132646210
0,3943475233,132646210
0,312809493,132646210
0,1468634743,132646210
0,1974656552,132646210
0,29277960,132646210
0,273561140,132646210
0,2438493248,132646210
0,1072910977,132646210
0,4025609913,132646210
0,494181406,132646210
0,16387111,132646210
0,231845623,132646210
0,1028693496,132646210
0,2239534928,132646210
0,127894322,132646210
0,1108108225,132646210
0,330917707,132646210
0,3341697257,132646210
0,263247974,132646210
0,829115622,132646210
0,3892710581,132646210
0,700999301514686464,132646210
0,41974909,132646210
0,39697728,132646210
0,704185699415695360,132646210
0,4833032980,132646210
0,2601589496,132646210
0,16279554,132646210
0,4829277184,132646210
0,1339637532,132646210
0,4157611,132646210
0,4149032843,132646210
0,202853969,132646210
