,Follower,Following
0,62827741,748525684578914304
0,412964089,748525684578914304
0,3353147194,748525684578914304
0,96122844,748525684578914304
0,52235410,748525684578914304
0,411985029,748525684578914304
0,259298458,748525684578914304
0,3305895909,748525684578914304
0,4430234957,748525684578914304
0,235593967,748525684578914304
0,2273736678,2272376472
0,1216858220,2272376472
0,2339508810,2272376472
0,2290925088,2272376472
0,126823497,2272376472
0,2294066258,2272376472
0,2310939726,2272376472
0,2292706388,2272376472
0,2270228785,2272376472
0,2269673796,2272376472
0,2990062084,790451965
0,2766050472,790451965
0,2542443168,790451965
0,84508784,790451965
0,1193904402190360576,790451965
0,760638570,790451965
0,954441,790451965
0,17461545,790451965
0,10925962,790451965
0,320568816,790451965
0,874632132353826816,49287656
0,711331579449073665,49287656
0,2693888232,49287656
0,19505790,49287656
0,15841313,49287656
0,100074057,49287656
0,4897300665,49287656
0,3130629970,49287656
0,193309907,49287656
0,25134469,49287656
0,4873684235,121709074
0,835676090,121709074
0,1192468340054343681,121709074
0,83898729,121709074
0,804563319457660928,121709074
0,91168371,121709074
0,1223694824429301761,121709074
0,140586880,121709074
0,776424157,121709074
0,1477918760,121709074
0,214272214,83272167
0,214272214,2459490150
0,214272214,754546993
0,214272214,2030711
0,214272214,875800764
0,214272214,192993441
0,214272214,40930985
0,214272214,78106950
0,214272214,2335431
0,214272214,152627345
0,29277960,8963722
0,29277960,399544729
0,29277960,109958517
0,29277960,357199234
0,29277960,219617448
0,29277960,1034844617261248512
0,29277960,32372834
0,29277960,1006055524666826754
0,29277960,1368571
0,29277960,137793138
0,966411199649808386,954608168042102784
0,966411199649808386,828931064
0,966411199649808386,66722583
0,966411199649808386,30339571
0,966411199649808386,310741473
0,966411199649808386,947311503216066560
0,966411199649808386,3395161438
0,966411199649808386,804701761017671680
0,966411199649808386,248135933
0,966411199649808386,1195040516318093312
0,544737616,243082126
0,544737616,14909989
0,544737616,20926161
0,544737616,32872183
0,544737616,81722116
0,544737616,29277960
0,544737616,96962998
0,544737616,1055893919597133824
0,544737616,59263220
0,544737616,384747822
0,1175299088,2815528570
0,1175299088,955605884960493568
0,1175299088,1068951084
0,1175299088,143430352
0,1175299088,235261861
0,1175299088,76956597
0,1175299088,24211487
0,1175299088,272741965
0,1175299088,3813580887
0,1175299088,51063950
