,Follower,Following
0,73001375,19659370
0,333597222,19659370
0,569203915,19659370
0,2336440088,19659370
0,1276832114856656896,19659370
0,1214864022572425217,19659370
0,877108837475655680,19659370
0,51934480,19659370
0,2807461219,19659370
0,268025507,19659370
0,249255635,19659370
0,13284672,19659370
0,373974821,19659370
0,117712651,19659370
0,464868829,19659370
0,16925097,19659370
0,1145584490594443264,19659370
0,1071412460,19659370
0,248064213,19659370
0,1196193239713353732,19659370
0,47987831,19659370
0,277298681,19659370
0,2577967370,19659370
0,1301154075434606598,19659370
0,581406453,19659370
0,3279064394,19659370
0,1297170244658552838,19659370
0,1296322367053082624,19659370
0,1030464891830902784,19659370
0,352650313,19659370
0,2301908191,19659370
0,72102865,19659370
0,966024156574662656,19659370
0,248721193,19659370
0,15750573,19659370
0,3102522680,19659370
0,833597084167122945,19659370
0,761072228028911618,19659370
0,2166763549,19659370
0,1061582051449557003,19659370
0,320568816,19659370
0,39697728,19659370
0,301178769,19659370
0,4042462396,19659370
0,2877993331,19659370
0,157238371,19659370
0,35749835,19659370
0,16621479,19659370
0,1898912480,19659370
0,2278288488,19659370
0,158297618,19659370
0,49719781,19659370
0,219728708,19659370
0,2427769760,19659370
0,1189525564715089920,19659370
0,383365753,19659370
0,1106015165969924096,19659370
0,78807415,19659370
0,2527017636,19659370
0,17015268,19659370
0,2576448008,19659370
0,1265795638551212032,19659370
0,1004448369140551682,19659370
0,1206594224537448449,19659370
0,77200220,19659370
0,19690273,19659370
0,146195370,19659370
0,3257676018,19659370
0,2903217440,19659370
0,49556240,19659370
0,53079180,19659370
0,99015174,19659370
0,2409117643,19659370
0,977585064,19659370
0,1162690737516863494,19659370
0,17465774,19659370
0,249661913,19659370
0,1222193343737794560,19659370
0,1040124415151726592,19659370
0,111801456,19659370
0,1140163756267192321,19659370
0,17383073,19659370
0,4831430475,19659370
0,1211825303388995584,19659370
0,1053292116,19659370
0,1228726773078208512,19659370
0,1136467769199910912,19659370
0,1230692054092529664,19659370
0,918943909811769344,19659370
0,34999723,19659370
0,179571184,19659370
0,1640671358,19659370
0,338526004,19659370
0,391867472,19659370
0,252411935,19659370
0,743908703863083008,19659370
0,803909558431313920,19659370
0,18728897,19659370
0,1187226845155999749,19659370
0,1174325520294715392,19659370
0,94732055,19659370
0,78269397,19659370
0,1734575215,19659370
0,605027292,19659370
0,48354997,19659370
0,253609062,19659370
0,22826489,19659370
0,119459238,19659370
0,3075691,19659370
0,1077070220332740608,19659370
0,1190682302977859584,19659370
0,308843719,19659370
0,2832694608,19659370
0,116897811,19659370
0,1182908622113660929,19659370
0,826837132325027841,19659370
0,1284042607,19659370
0,477030336,19659370
0,938473643373481985,19659370
0,801934486023782400,19659370
0,7295362,19659370
0,30420908,19659370
0,702309206,19659370
0,434236851,19659370
0,1124623431377543169,19659370
0,386277982,19659370
0,465693357,19659370
0,1894582058,19659370
0,1155634482629791746,19659370
0,234321271,19659370
0,940441783,19659370
0,769507902897856512,19659370
0,3233792564,19659370
0,2831695553,19659370
0,27366114,19659370
0,725387616,19659370
0,512785206,19659370
0,1148895885729947648,19659370
0,1140577345973170177,19659370
0,12151932,19659370
0,157920406,19659370
0,2864356347,19659370
0,48448084,19659370
0,2214711331,19659370
0,1138704090106646528,19659370
0,30339571,19659370
0,298982411,19659370
0,93903085,19659370
0,534290225,19659370
0,17600799,19659370
0,837051215339008000,19659370
0,982276165992935426,19659370
0,91440853,19659370
0,384127183,19659370
0,4883900442,19659370
0,2315608478,19659370
0,2382305514,19659370
0,28245224,19659370
0,16136933,19659370
0,1080724857552199682,19659370
0,1708743114,19659370
0,53250831,19659370
0,32856732,19659370
0,2932027868,19659370
0,17018894,19659370
0,801372548940398593,19659370
0,224209816,19659370
0,16710690,19659370
0,40576466,19659370
0,15518172,19659370
0,600067712,19659370
0,14208224,19659370
0,743856512,19659370
0,390324658,19659370
0,1065173952664952837,19659370
0,1019221160742014976,19659370
0,22132438,19659370
0,14451127,19659370
0,10752242,19659370
0,137394430,19659370
0,1049203448783278080,19659370
0,793688995918024704,19659370
0,631705640,19659370
0,343928585,19659370
0,915721853833900032,19659370
0,906922846412267521,19659370
0,377983647,19659370
0,815628453613621248,19659370
0,53340169,19659370
0,219293337,19659370
0,3435577992,19659370
0,770233588721868802,19659370
0,153327232,19659370
0,2989739661,19659370
0,947311503216066560,19659370
0,852083180182147072,19659370
0,1556357336,19659370
0,615595875,19659370
0,3081585501,19659370
0,796877583455555584,19659370
0,199175962,19659370
0,843009630812995584,19659370
0,932582571338321920,19659370
0,327032058,19659370
0,924426975330160641,19659370
0,3041372326,19659370
0,361719507,19659370
0,354801923,19659370
0,132646210,19659370
0,2309104237,19659370
0,793483735018504192,19659370
0,80269062,19659370
0,14103970,19659370
0,994886035086761984,19659370
0,933679231220850688,19659370
0,458399248,19659370
0,77436536,19659370
0,14575354,19659370
0,450842550,19659370
0,920700510306529280,19659370
0,977250301,19659370
0,44860754,19659370
0,64732883,19659370
0,949493208702099456,19659370
0,45827605,19659370
0,941478255789457408,19659370
0,188756842,19659370
0,885944485615738881,19659370
0,934851466082357249,19659370
0,917421341359464450,19659370
0,1851621,19659370
0,911454651417088000,19659370
0,918158086858211329,19659370
0,264103867,19659370
0,923649456981135367,19659370
0,917259707236208640,19659370
0,143187995,19659370
0,337745478,19659370
0,431210487,19659370
0,341000847,19659370
0,917284226269052928,19659370
0,82774113,19659370
0,114738098,19659370
0,606667727,19659370
0,908589103737950208,19659370
0,869188290183917568,19659370
0,2803449260,19659370
0,879077538525396992,19659370
0,778607,19659370
0,890413838578966528,19659370
0,2372636521,19659370
0,876083623711174657,19659370
0,1425336134,19659370
0,122424832,19659370
0,19859014,19659370
0,743917727820058626,19659370
0,287275780,19659370
0,202853969,19659370
0,66722583,19659370
0,835810382509928450,19659370
0,856955544845811712,19659370
0,158659687,19659370
0,810893744593584128,19659370
0,393675585,19659370
0,158751132,19659370
0,849729477533892612,19659370
0,4874161629,19659370
0,1111871,19659370
0,91523851,19659370
0,4353971122,19659370
0,373580725,19659370
0,250055606,19659370
0,63935826,19659370
0,529771925,19659370
0,836189288572325888,19659370
0,709402060547092481,19659370
0,3036907250,19659370
0,2966094221,19659370
0,2165646554,19659370
0,2228576226,19659370
0,2876226376,19659370
0,797823007997722624,19659370
0,76966092,19659370
0,3309394037,19659370
0,821769650211930112,19659370
0,2986084527,19659370
0,361288906,19659370
0,808593541840719872,19659370
0,1934999587,19659370
0,207534677,19659370
0,804563319457660928,19659370
0,7990062,19659370
0,719967950527205376,19659370
0,2190533245,19659370
0,771681197781053440,19659370
