,Follower,Following
0,1972411447,18932422
0,257691637,18932422
0,4893681,18932422
0,116897811,18932422
0,551951577,18932422
0,91697719,18932422
0,94732055,18932422
0,514667085,18932422
0,4149032843,18932422
0,4188048952,18932422
0,14451127,18932422
0,2988561009,18932422
0,920700510306529280,18932422
0,950377242483343360,18932422
0,1527607790,18932422
0,923649456981135367,18932422
0,890413838578966528,18932422
0,1477918760,18932422
0,810893744593584128,18932422
0,125483940,18932422
0,406303880,18932422
0,4863093417,18932422
0,2924886188,18932422
0,2190533245,18932422
0,3095317209,18932422
0,153764165,18932422
0,748315519674048512,18932422
0,3036907250,18932422
0,386908329,18932422
0,21192987,18932422
0,2826508686,18932422
0,65915718,18932422
0,203070657,18932422
0,3916694415,18932422
0,3761306416,18932422
0,384127183,18932422
0,3513346942,18932422
0,115091858,18932422
0,2206179206,18932422
0,3510179057,18932422
0,5734242,18932422
0,2309104237,18932422
0,101045085,18932422
0,3331252607,18932422
0,127894322,18932422
0,269301403,18932422
0,466894113,18932422
0,341000847,18932422
0,2926864059,18932422
0,39048846,18932422
0,151303125,18932422
0,1527461,18932422
0,400804254,18932422
0,2346714074,18932422
0,25134469,18932422
0,216703645,18932422
0,17554109,18932422
0,1121934716,18932422
0,22597445,18932422
0,32942338,18932422
0,3041372326,18932422
0,2515540081,18932422
0,46922123,18932422
0,202853969,18932422
0,140093780,18932422
0,3035143127,18932422
0,193309907,18932422
0,485865743,18932422
0,15378449,18932422
0,533149076,18932422
0,144779689,18932422
0,500950174,18932422
0,3145021135,18932422
0,469119337,18932422
0,217377296,18932422
0,36448779,18932422
0,3128829965,18932422
0,126352685,18932422
0,720212700,18932422
0,14761223,18932422
0,495430242,18932422
0,2226776658,18932422
0,251614179,18932422
0,114146587,18932422
0,17743823,18932422
0,2475224005,18932422
0,3130548765,18932422
0,496430086,18932422
0,19659370,18932422
0,40030538,18932422
0,828489290,18932422
0,2700931729,18932422
0,301941645,18932422
0,338989477,18932422
0,2568478126,18932422
0,66722583,18932422
0,46131106,18932422
0,249661913,18932422
0,54875928,18932422
0,2601589496,18932422
0,132646210,18932422
0,2587811778,18932422
0,1850752598,18932422
0,25481069,18932422
0,2457267950,18932422
0,1365711606,18932422
0,201275909,18932422
0,331076291,18932422
0,44973000,18932422
0,1339637532,18932422
0,93781753,18932422
0,2318099514,18932422
0,19677430,18932422
0,544737616,18932422
0,1322931373,18932422
0,175011974,18932422
0,248135933,18932422
0,15455450,18932422
0,1002193231,18932422
0,119512412,18932422
0,127489643,18932422
0,11892372,18932422
0,22026924,18932422
0,146159328,18932422
0,130671142,18932422
0,209100025,18932422
0,332134740,18932422
0,17078917,18932422
0,78269677,18932422
0,147949965,18932422
0,237738266,18932422
0,17076764,18932422
0,831922344,18932422
0,15159648,18932422
0,16868154,18932422
0,538326631,18932422
0,604779041,18932422
0,108441778,18932422
0,78969930,18932422
0,18417153,18932422
0,393675585,18932422
0,70422392,18932422
0,350152586,18932422
0,68475307,18932422
0,400831970,18932422
0,14266044,18932422
0,18115497,18932422
0,66369383,18932422
0,14488805,18932422
0,55044770,18932422
0,60884801,18932422
0,53654934,18932422
0,6763242,18932422
0,52059998,18932422
0,49945724,18932422
0,48677032,18932422
0,7415172,18932422
0,18932422,28822067
0,18932422,1189744336415723520
0,18932422,361281600
0,18932422,1663172653
0,18932422,910827588
0,18932422,293483941
0,18932422,16273541
0,18932422,1070321898951753728
0,18932422,755397390
0,18932422,106856453
0,18932422,1434631356
0,18932422,870362407
0,18932422,104892871
0,18932422,984769730983682048
0,18932422,3415864408
0,18932422,799830497065050112
0,18932422,14451127
0,18932422,917738789233217536
