,Follower,Following
0,709064775918084097,3761306416
0,382283699,3761306416
0,18506971,3761306416
0,2182249315,3761306416
0,26270899,3761306416
0,1961314813,3761306416
0,377983647,3761306416
0,32942338,3761306416
0,285238896,3761306416
0,260768625,3761306416
0,119512412,1850752598
0,308456550,1850752598
0,2820924656,1850752598
0,2475224005,1850752598
0,2868459162,1850752598
0,2444287800,1850752598
0,2615258306,1850752598
0,195337702,1850752598
0,728731052269768704,1850752598
0,14597662,1850752598
0,2348513340,17743823
0,909545017,17743823
0,47681517,17743823
0,22610617,17743823
0,887627169765130241,17743823
0,2156970636,17743823
0,720212700,17743823
0,1162690737516863494,17743823
0,13790222,17743823
0,3020046891,17743823
0,869983342585946112,4188048952
0,75525450,4188048952
0,320994155,4188048952
0,294599794,4188048952
0,1265273135751819269,4188048952
0,1179174112230428673,4188048952
0,2778608988,4188048952
0,1909237502,4188048952
0,257629900,4188048952
0,1265050985380155404,4188048952
0,748315519674048512,216703645
0,1140899377,216703645
0,2955936560,216703645
0,202853969,216703645
0,64472672,216703645
0,178729307,216703645
0,75585288,216703645
0,50623580,216703645
0,35780245,216703645
0,573460891,216703645
0,305474242,1174226906
0,305474242,1527461
0,305474242,521041439
0,305474242,45321027
0,305474242,174251966
0,305474242,331076291
0,305474242,1157283331509235713
0,305474242,825458566689648645
0,305474242,3511430425
0,305474242,12524622
0,28822067,434217283
0,28822067,819674826
0,28822067,96795790
0,28822067,83388706
0,28822067,15693493
0,28822067,965575952314093568
0,28822067,170739225
0,28822067,105915404
0,28822067,2359926157
0,28822067,22949587
0,265509561,866469276978364416
0,265509561,15363432
0,265509561,828637598201569280
0,265509561,1640407356
0,265509561,78619534
0,265509561,3344155571
0,265509561,4398626122
0,265509561,762216168170090496
0,265509561,50095170
0,265509561,59263220
0,32193354,4149032843
0,32193354,158342368
0,32193354,11167502
0,32193354,37202498
0,32193354,276034185
0,32193354,16868154
0,32193354,3304471
0,32193354,2350806823
0,32193354,304287573
0,32193354,17033267
0,63801028,114833112
0,63801028,33697581
0,63801028,20695447
0,63801028,1269700866
0,63801028,717433745553264640
0,63801028,14174897
0,63801028,1157566615
0,63801028,39337029
0,63801028,1464314833
0,63801028,1880521
