,id,id_str,name,screen_name,location,profile_location,description,url,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type,entities.url.urls,entities.description.urls,profile_banner_url,live_following,muting,blocking,blocked_by,status.created_at,status.id,status.id_str,status.text,status.truncated,status.entities.hashtags,status.entities.symbols,status.entities.user_mentions,status.entities.urls,status.source,status.in_reply_to_status_id,status.in_reply_to_status_id_str,status.in_reply_to_user_id,status.in_reply_to_user_id_str,status.in_reply_to_screen_name,status.geo,status.coordinates,status.place,status.contributors,status.retweeted_status.created_at,status.retweeted_status.id,status.retweeted_status.id_str,status.retweeted_status.text,status.retweeted_status.truncated,status.retweeted_status.entities.hashtags,status.retweeted_status.entities.symbols,status.retweeted_status.entities.user_mentions,status.retweeted_status.entities.urls,status.retweeted_status.source,status.retweeted_status.in_reply_to_status_id,status.retweeted_status.in_reply_to_status_id_str,status.retweeted_status.in_reply_to_user_id,status.retweeted_status.in_reply_to_user_id_str,status.retweeted_status.in_reply_to_screen_name,status.retweeted_status.geo,status.retweeted_status.coordinates,status.retweeted_status.place,status.retweeted_status.contributors,status.retweeted_status.is_quote_status,status.retweeted_status.retweet_count,status.retweeted_status.favorite_count,status.retweeted_status.favorited,status.retweeted_status.retweeted,status.retweeted_status.possibly_sensitive,status.retweeted_status.lang,status.is_quote_status,status.retweet_count,status.favorite_count,status.favorited,status.retweeted,status.lang,status.quoted_status_id,status.quoted_status_id_str,status.possibly_sensitive,status.entities.media,status.extended_entities.media,status.retweeted_status.entities.media,status.retweeted_status.extended_entities.media,status.place.id,status.place.url,status.place.place_type,status.place.name,status.place.full_name,status.place.country_code,status.place.country,status.place.contained_within,status.place.bounding_box.type,status.place.bounding_box.coordinates,status.retweeted_status.place.id,status.retweeted_status.place.url,status.retweeted_status.place.place_type,status.retweeted_status.place.name,status.retweeted_status.place.full_name,status.retweeted_status.place.country_code,status.retweeted_status.place.country,status.retweeted_status.place.contained_within,status.retweeted_status.place.bounding_box.type,status.retweeted_status.place.bounding_box.coordinates,status.retweeted_status.quoted_status_id,status.retweeted_status.quoted_status_id_str
0,3036907250,3036907250,Kevin Roitero,KevinRoitero,,,,https://t.co/PQbdB9SMtC,False,103,256,5,Sun Feb 22 19:59:30 +0000 2015,527,,,False,False,21,,False,False,True,ABB8C2,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/1053387143614210048/7XIN4WWb_normal.jpg,https://pbs.twimg.com/profile_images/1053387143614210048/7XIN4WWb_normal.jpg,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/PQbdB9SMtC', 'expanded_url': 'https://kevinroitero.com/', 'display_url': 'kevinroitero.com', 'indices': [0, 23]}]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,338989477,338989477,Eddy Maddalena,EddyMaddalena,,,,https://t.co/uzfSzM72EZ,False,85,123,0,Wed Jul 20 12:18:32 +0000 2011,39,,,True,False,221,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2272774054/uga5qzyhkxnnvxv8jjjj_normal.jpeg,https://pbs.twimg.com/profile_images/2272774054/uga5qzyhkxnnvxv8jjjj_normal.jpeg,B3B3B3,000000,0E4462,000000,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/uzfSzM72EZ', 'expanded_url': 'http://www.eddymaddalena.net/', 'display_url': 'eddymaddalena.net', 'indices': [0, 23]}]",[],https://pbs.twimg.com/profile_banners/338989477/1434381764,False,False,False,False,Sat Sep 05 13:25:12 +0000 2020,1.3022363398285967e+18,1302236339828596743,"RT @JAIR_Editor: New Article: ""Point at the Triple: Generation of Text Summaries from Knowledge Base Triples"" by Vougiouklis, Maddalena, Ha…",False,[],[],"[{'screen_name': 'JAIR_Editor', 'name': 'J. AI Research-JAIR', 'id': 2763083587, 'id_str': '2763083587', 'indices': [3, 15]}]",[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,Fri Sep 04 21:11:37 +0000 2020,1.3019913311415747e+18,1301991331141574658,"New Article: ""Point at the Triple: Generation of Text Summaries from Knowledge Base Triples"" by Vougiouklis, Maddal… https://t.co/ot8GHCSiSu",True,[],[],[],"[{'url': 'https://t.co/ot8GHCSiSu', 'expanded_url': 'https://twitter.com/i/web/status/1301991331141574658', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3.0,1.0,False,False,False,en,False,3.0,0.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1187585868493537280,1187585868493537280,Centre for Information Discovery & Data Analytics,rmit_cidda,"Melbourne, Australia",,RMIT Research Centre for Information Discovery and Data Analytics (CIDDA),https://t.co/5iG7zLXyKl,False,84,113,2,Fri Oct 25 04:25:27 +0000 2019,31,,,False,False,48,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324290244275965952/kZfI--CW_normal.jpg,https://pbs.twimg.com/profile_images/1324290244275965952/kZfI--CW_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/5iG7zLXyKl', 'expanded_url': 'http://rmit.edu.au/cidda', 'display_url': 'rmit.edu.au/cidda', 'indices': [0, 23]}]",[],https://pbs.twimg.com/profile_banners/1187585868493537280/1574748180,False,False,False,False,Thu Nov 05 00:13:15 +0000 2020,1.3241426997257708e+18,1324142699725770753,"RT @IR_oldie: We're hiring! Two Research Fellows @rmit_csit @rmit_cidda  as part of the @AdmsCentre. Come work on bias, explainability, or…",False,[],[],"[{'screen_name': 'IR_oldie', 'name': 'Mark Sanderson', 'id': 127894322, 'id_str': '127894322', 'indices': [3, 12]}, {'screen_name': 'rmit_csit', 'name': 'RMIT Computing & IT', 'id': 93781753, 'id_str': '93781753', 'indices': [49, 59]}, {'screen_name': 'rmit_cidda', 'name': 'Centre for Information Discovery & Data Analytics', 'id': 1187585868493537280, 'id_str': '1187585868493537280', 'indices': [60, 71]}, {'screen_name': 'AdmsCentre', 'name': 'ARC Centre for Automated Decision-Making & Society', 'id': 1245923843119575041, 'id_str': '1245923843119575041', 'indices': [88, 99]}]",[],"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,Thu Nov 05 00:12:19 +0000 2020,1.3241424643162685e+18,1324142464316268545,"We're hiring! Two Research Fellows @rmit_csit @rmit_cidda  as part of the @AdmsCentre. Come work on bias, explainab… https://t.co/yEDLM8UxiX",True,[],[],"[{'screen_name': 'rmit_csit', 'name': 'RMIT Computing & IT', 'id': 93781753, 'id_str': '93781753', 'indices': [35, 45]}, {'screen_name': 'rmit_cidda', 'name': 'Centre for Information Discovery & Data Analytics', 'id': 1187585868493537280, 'id_str': '1187585868493537280', 'indices': [46, 57]}, {'screen_name': 'AdmsCentre', 'name': 'ARC Centre for Automated Decision-Making & Society', 'id': 1245923843119575041, 'id_str': '1245923843119575041', 'indices': [74, 85]}]","[{'url': 'https://t.co/yEDLM8UxiX', 'expanded_url': 'https://twitter.com/i/web/status/1324142464316268545', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,9.0,25.0,False,False,False,en,False,9.0,0.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,39697728,39697728,Flora Salim,flosalim,"Melbourne, Victoria",,"A/Prof @RMIT @rmit_csit @rmit_cidda @AdmsCentre, @AvHStiftung Humboldt-Bayer Fellow, @veskiorg VIC fellow ‘18, @UNLEASHlab’17 talent, #ubicomp #IoT #user #ML",https://t.co/Dnj2HRRbtZ,False,755,549,52,Wed May 13 05:45:16 +0000 2009,1069,,,True,False,1807,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/693204817582272512/rDZsg4TA_normal.jpg,https://pbs.twimg.com/profile_images/693204817582272512/rDZsg4TA_normal.jpg,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/Dnj2HRRbtZ', 'expanded_url': 'http://florasalim.com', 'display_url': 'florasalim.com', 'indices': [0, 23]}]",[],https://pbs.twimg.com/profile_banners/39697728/1562783375,False,False,False,False,Sat Nov 07 22:24:32 +0000 2020,1.325202502527058e+18,1325202502527057920,Diversity is beautiful! https://t.co/07i1wBZz3t,False,[],[],[],"[{'url': 'https://t.co/07i1wBZz3t', 'expanded_url': 'https://twitter.com/SuppressThis/status/1325150228039733249', 'display_url': 'twitter.com/SuppressThis/s…', 'indices': [24, 47]}]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0,2.0,False,False,en,1.3251502280397332e+18,1325150228039733249,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1265795638551212032,1265795638551212032,Rodger Benham,rodger_benham,,,"PhD Candidate at @RMIT University working on evaluating information retrieval systems. Likes: Search Engines, Statistics/ML, Software Engineering, Bball/Golf.",https://t.co/EswtcZFXth,False,75,168,1,Thu May 28 00:03:08 +0000 2020,402,,,False,False,32,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1265803415952621568/Y8y0zv3k_normal.jpg,https://pbs.twimg.com/profile_images/1265803415952621568/Y8y0zv3k_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/EswtcZFXth', 'expanded_url': 'https://rodgerbenham.github.io/', 'display_url': 'rodgerbenham.github.io', 'indices': [0, 23]}]",[],https://pbs.twimg.com/profile_banners/1265795638551212032/1590626248,False,False,False,False,Tue Nov 10 21:10:05 +0000 2020,1.326270931560358e+18,1326270931560357888,"@julian_urbano I've always preferred the language agnostic approach of having a bash script, readme file, and an ou… https://t.co/8uvLX3hkdn",True,[],[],"[{'screen_name': 'julian_urbano', 'name': 'Julián Urbano', 'id': 249661913, 'id_str': '249661913', 'indices': [0, 14]}]","[{'url': 'https://t.co/8uvLX3hkdn', 'expanded_url': 'https://twitter.com/i/web/status/1326270931560357888', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1326208613761822722,1326208613761822722,249661913,249661913,julian_urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,184125091,184125091,Stella was a diver,shoegazerstella,,,"Machine Learning and Music Information Retrieval @musixmatch, @musixmatchai 🔊 🎼🎤 🎧",https://t.co/h7E30koL0J,False,603,1808,11,Sat Aug 28 19:18:14 +0000 2010,6231,,,False,False,5130,,False,False,False,080807,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1206335157575266304/sZFuA6yr_normal.jpg,https://pbs.twimg.com/profile_images/1206335157575266304/sZFuA6yr_normal.jpg,E81C4F,FFFFFF,E6F6F9,333333,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/h7E30koL0J', 'expanded_url': 'https://shoegazerstella.github.io/', 'display_url': 'shoegazerstella.github.io', 'indices': [0, 23]}]",[],https://pbs.twimg.com/profile_banners/184125091/1570475309,False,False,False,False,Sat Nov 07 19:56:51 +0000 2020,1.325165338745475e+18,1325165338745475073,"RT @gadlernertweet: Il futuro della democrazia è donna
#KamalaHarris https://t.co/S9LnabqXu2",False,"[{'text': 'KamalaHarris', 'indices': [55, 68]}]",[],"[{'screen_name': 'gadlernertweet', 'name': 'Gad Lerner', 'id': 145225789, 'id_str': '145225789', 'indices': [3, 18]}]",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,Sat Nov 07 18:55:34 +0000 2020,1.325149916335919e+18,1325149916335919105,"Il futuro della democrazia è donna
#KamalaHarris https://t.co/S9LnabqXu2",False,"[{'text': 'KamalaHarris', 'indices': [35, 48]}]",[],[],[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,581.0,6243.0,False,False,False,it,False,581.0,0.0,False,False,it,,,False,"[{'id': 1325149911910805513, 'id_str': '1325149911910805513', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/EmPg0u2VcAkx_7M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EmPg0u2VcAkx_7M.jpg', 'url': 'https://t.co/S9LnabqXu2', 'display_url': 'pic.twitter.com/S9LnabqXu2', 'expanded_url': 'https://twitter.com/gadlernertweet/status/1325149916335919105/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 976, 'h': 549, 'resize': 'fit'}, 'large': {'w': 976, 'h': 549, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_status_id': 1325149916335919105, 'source_status_id_str': '1325149916335919105', 'source_user_id': 145225789, 'source_user_id_str': '145225789'}]","[{'id': 1325149911910805513, 'id_str': '1325149911910805513', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/EmPg0u2VcAkx_7M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EmPg0u2VcAkx_7M.jpg', 'url': 'https://t.co/S9LnabqXu2', 'display_url': 'pic.twitter.com/S9LnabqXu2', 'expanded_url': 'https://twitter.com/gadlernertweet/status/1325149916335919105/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 976, 'h': 549, 'resize': 'fit'}, 'large': {'w': 976, 'h': 549, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_status_id': 1325149916335919105, 'source_status_id_str': '1325149916335919105', 'source_user_id': 145225789, 'source_user_id_str': '145225789'}]","[{'id': 1325149911910805513, 'id_str': '1325149911910805513', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/media/EmPg0u2VcAkx_7M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EmPg0u2VcAkx_7M.jpg', 'url': 'https://t.co/S9LnabqXu2', 'display_url': 'pic.twitter.com/S9LnabqXu2', 'expanded_url': 'https://twitter.com/gadlernertweet/status/1325149916335919105/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 976, 'h': 549, 'resize': 'fit'}, 'large': {'w': 976, 'h': 549, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]","[{'id': 1325149911910805513, 'id_str': '1325149911910805513', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/media/EmPg0u2VcAkx_7M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EmPg0u2VcAkx_7M.jpg', 'url': 'https://t.co/S9LnabqXu2', 'display_url': 'pic.twitter.com/S9LnabqXu2', 'expanded_url': 'https://twitter.com/gadlernertweet/status/1325149916335919105/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 976, 'h': 549, 'resize': 'fit'}, 'large': {'w': 976, 'h': 549, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]",,,,,,,,,,,,,,,,,,,,,,
0,343587148,343587148,Tao Wang,ttwwecon,"Washington, DC",,"Econ PhD @JohnsHopkins Behavioral/HA macro. IMF, Brookings and Cornell. Language addict: human's/coding/econ/food. https://t.co/Cw4jsMuEsH",,False,613,3949,8,Wed Jul 27 20:00:01 +0000 2011,849,,,False,False,1151,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1117267597844787201/ZxYQswrZ_normal.jpg,https://pbs.twimg.com/profile_images/1117267597844787201/ZxYQswrZ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,"[{'url': 'https://t.co/Cw4jsMuEsH', 'expanded_url': 'http://taowangecon.github.io', 'display_url': 'taowangecon.github.io', 'indices': [115, 138]}]",,False,False,False,False,Wed Nov 11 17:38:47 +0000 2020,1.3265801417918464e+18,1326580141791846402,The world is what you choose to believe.. https://t.co/WffrEw5fZk,False,[],[],[],"[{'url': 'https://t.co/WffrEw5fZk', 'expanded_url': 'https://twitter.com/mredmond88/status/1326576017436184581', 'display_url': 'twitter.com/mredmond88/sta…', 'indices': [42, 65]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0,0.0,False,False,en,1.3265760174361846e+18,1326576017436184581,False,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2444133930,2444133930,Manish Bansal,manishb89,"Bengaluru, India",,"Applying Machine learning @Flipkart Search. Interested in machine learning, NLP/IR.",,False,35,526,1,Mon Apr 14 16:32:54 +0000 2014,319,,,False,False,63,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,True,False,False,False,none,,[],,False,False,False,False,Tue Nov 10 17:43:58 +0000 2020,1.3262190593361551e+18,1326219059336155137,"RT @jobergum: Two ""must read"" papers in 2020 for those interested in Search. 

Embedding-based Retrieval in Facebook Search https://t.co/2J…",False,[],[],"[{'screen_name': 'jobergum', 'name': 'Jo Kristian Bergum', 'id': 58198840, 'id_str': '58198840', 'indices': [3, 12]}]",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,Tue Nov 10 13:44:51 +0000 2020,1.326158882159399e+18,1326158882159398913,"Two ""must read"" papers in 2020 for those interested in Search. 

Embedding-based Retrieval in Facebook Search… https://t.co/wCVtJdc9OL",True,[],[],[],"[{'url': 'https://t.co/wCVtJdc9OL', 'expanded_url': 'https://twitter.com/i/web/status/1326158882159398913', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,5.0,28.0,False,False,False,en,False,5.0,0.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,839139788846411777,839139788846411777,Arshia Arya,AryaArshia,,,Intern @MSFTResearch. Economics and computer science at @BITSPilaniGoa Interested in CausalML.,https://t.co/CA4mbLAoYj,False,342,2012,1,Tue Mar 07 15:44:50 +0000 2017,2045,,,False,False,41,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1191277519418220546/gLziE_GQ_normal.jpg,https://pbs.twimg.com/profile_images/1191277519418220546/gLziE_GQ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/CA4mbLAoYj', 'expanded_url': 'https://arshiaarya.github.io', 'display_url': 'arshiaarya.github.io', 'indices': [0, 23]}]",[],,False,False,False,False,Wed Oct 28 07:49:56 +0000 2020,1.321358523079422e+18,1321358523079421952,@m_sendhil @UChicago Will the applications be considered on a rolling basis or is there a deadline for this?,False,[],[],"[{'screen_name': 'm_sendhil', 'name': '𝐒𝐞𝐧𝐝𝐡𝐢𝐥 𝐌𝐮𝐥𝐥𝐚𝐢𝐧𝐚𝐭𝐡𝐚𝐧', 'id': 405124125, 'id_str': '405124125', 'indices': [0, 10]}, {'screen_name': 'UChicago', 'name': 'The University of Chicago', 'id': 131144285, 'id_str': '131144285', 'indices': [11, 20]}]",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1321136485739995138,1321136485739995138,405124125,405124125,m_sendhil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,2.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2417892751,2417892751,Martin Arvidsson,arvidmartin,,,Ph.D. Student @IAS_LiU // Studies social influence- and aggregation dynamics. PML+Causal inference+ABMs,https://t.co/ijeFBWJSFK,False,339,1962,1,Sat Mar 29 19:27:52 +0000 2014,1465,,,False,False,135,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1129050600870686720/RlXOYeTR_normal.jpg,https://pbs.twimg.com/profile_images/1129050600870686720/RlXOYeTR_normal.jpg,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/ijeFBWJSFK', 'expanded_url': 'https://github.com/martin-arvidsson', 'display_url': 'github.com/martin-arvidss…', 'indices': [0, 23]}]",[],,False,False,False,False,Wed Nov 11 09:41:56 +0000 2020,1.3264601414541025e+18,1326460141454102528,RT @NUnetsi: Interested in pursuing a PhD in Network Science? We're now accepting applications for the Network Science PhD program @Northea…,False,[],[],"[{'screen_name': 'NUnetsi', 'name': 'Network Science Institute', 'id': 3729520335, 'id_str': '3729520335', 'indices': [3, 11]}]",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,Tue Nov 10 23:28:53 +0000 2020,1.3263058611034563e+18,1326305861103456257,Interested in pursuing a PhD in Network Science? We're now accepting applications for the Network Science PhD progr… https://t.co/Poj1MTpqng,True,[],[],[],"[{'url': 'https://t.co/Poj1MTpqng', 'expanded_url': 'https://twitter.com/i/web/status/1326305861103456257', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,39.0,64.0,False,False,False,en,False,39.0,0.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
