,id,id_str,name,screen_name,location,profile_location,description,url,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type,entities.url.urls,entities.description.urls,status.created_at,status.id,status.id_str,status.text,status.truncated,status.entities.hashtags,status.entities.symbols,status.entities.user_mentions,status.entities.urls,status.source,status.in_reply_to_status_id,status.in_reply_to_status_id_str,status.in_reply_to_user_id,status.in_reply_to_user_id_str,status.in_reply_to_screen_name,status.geo,status.coordinates,status.place,status.contributors,status.is_quote_status,status.retweet_count,status.favorite_count,status.favorited,status.retweeted,status.lang,profile_banner_url,status.entities.media,status.extended_entities.media,status.possibly_sensitive,status.retweeted_status.created_at,status.retweeted_status.id,status.retweeted_status.id_str,status.retweeted_status.text,status.retweeted_status.truncated,status.retweeted_status.entities.hashtags,status.retweeted_status.entities.symbols,status.retweeted_status.entities.user_mentions,status.retweeted_status.entities.urls,status.retweeted_status.entities.media,status.retweeted_status.extended_entities.media,status.retweeted_status.source,status.retweeted_status.in_reply_to_status_id,status.retweeted_status.in_reply_to_status_id_str,status.retweeted_status.in_reply_to_user_id,status.retweeted_status.in_reply_to_user_id_str,status.retweeted_status.in_reply_to_screen_name,status.retweeted_status.geo,status.retweeted_status.coordinates,status.retweeted_status.place,status.retweeted_status.contributors,status.retweeted_status.is_quote_status,status.retweeted_status.retweet_count,status.retweeted_status.favorite_count,status.retweeted_status.favorited,status.retweeted_status.retweeted,status.retweeted_status.possibly_sensitive,status.retweeted_status.lang,status.retweeted_status.quoted_status_id,status.retweeted_status.quoted_status_id_str,status.quoted_status_id,status.quoted_status_id_str,profile_location.id,profile_location.url,profile_location.place_type,profile_location.name,profile_location.full_name,profile_location.country_code,profile_location.country,profile_location.contained_within,profile_location.bounding_box,status.geo.type,status.geo.coordinates,status.coordinates.type,status.coordinates.coordinates,status.place.id,status.place.url,status.place.place_type,status.place.name,status.place.full_name,status.place.country_code,status.place.country,status.place.contained_within,status.place.bounding_box.type,status.place.bounding_box.coordinates
0,276761737,276761737,ENV MARKETING,envmktg,"Las Vegas, NV",,"We are a mobile billboard advertising company. we strive on giving the absolute best customer service, exposure, and the absolute lowest rates in the nation!",http://t.co/zStgxNHIi2,False,72,327,0,Mon Apr 04 01:24:26 +0000 2011,0,,,False,False,2,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1299108567/twitter_logo_normal.jpg,https://pbs.twimg.com/profile_images/1299108567/twitter_logo_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'http://t.co/zStgxNHIi2', 'expanded_url': 'http://envmktg.com', 'display_url': 'envmktg.com', 'indices': [0, 22]}]",[],Wed Apr 06 22:48:40 +0000 2011,5.57638839772201e+16,55763883977220096,#RT us and get 15% off your #billboard services  in #vegas lowest price services with outstanding customer service! Visit envmktg.com,False,"[{'text': 'RT', 'indices': [0, 3]}, {'text': 'billboard', 'indices': [28, 38]}, {'text': 'vegas', 'indices': [52, 58]}]",[],[],[],"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,,,,,False,0.0,8.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,119438382,119438382,Joey and Maria's,dillstarshows,,,Interactive dinner theater for public and private shows!,http://t.co/nSFcCOjo,False,54,173,0,Wed Mar 03 17:10:32 +0000 2010,0,,,True,False,186,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,True,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0084B4,A8C7F7,C0DFEC,333333,True,False,False,True,False,False,False,none,"[{'url': 'http://t.co/nSFcCOjo', 'expanded_url': 'http://www.comedywedding.com', 'display_url': 'comedywedding.com', 'indices': [0, 20]}]",[],Fri Jun 13 15:52:56 +0000 2014,4.774787370515169e+17,477478737051516929,"CALIFORNIA fans want to see Joey&amp;Maria? We are now booking private events,call 800-944-5639 for info on how to get our show at YOUR event!",False,[],[],[],[],"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,,,,,False,0.0,1.0,False,False,en,https://pbs.twimg.com/profile_banners/119438382/1366090930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38333555,38333555,LMS,calulu714,New Jersey,,"NJ born & bred, can discuss bands, politics & pop culture till the cows come home, ready for the day when we don’t have to hear Trump’s name every freakin day.",,False,738,1347,1,Thu May 07 01:32:49 +0000 2009,824,,,False,False,1140,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1268341833706409985/zWWQ1d2__normal.jpg,https://pbs.twimg.com/profile_images/1268341833706409985/zWWQ1d2__normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,[],Tue Nov 17 02:20:04 +0000 2020,1.328523269717291e+18,1328523269717291008,@mckra1g https://t.co/Yvc68daMZA,False,[],[],"[{'screen_name': 'mckra1g', 'name': 'Molly Cranberries-Kraig 🦃', 'id': 28429455, 'id_str': '28429455', 'indices': [0, 8]}]",[],"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1328517646510329858,1328517646510329858,28429455,28429455,mckra1g,,,,,False,0.0,1.0,False,False,und,https://pbs.twimg.com/profile_banners/38333555/1542555619,"[{'id': 1328523259588055040, 'id_str': '1328523259588055040', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Em_c3aOXEAAMccl.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Em_c3aOXEAAMccl.jpg', 'url': 'https://t.co/Yvc68daMZA', 'display_url': 'pic.twitter.com/Yvc68daMZA', 'expanded_url': 'https://twitter.com/calulu714/status/1328523269717291008/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 380, 'h': 380, 'resize': 'fit'}, 'small': {'w': 380, 'h': 380, 'resize': 'fit'}, 'medium': {'w': 380, 'h': 380, 'resize': 'fit'}}}]","[{'id': 1328523259588055040, 'id_str': '1328523259588055040', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Em_c3aOXEAAMccl.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Em_c3aOXEAAMccl.jpg', 'url': 'https://t.co/Yvc68daMZA', 'display_url': 'pic.twitter.com/Yvc68daMZA', 'expanded_url': 'https://twitter.com/calulu714/status/1328523269717291008/photo/1', 'type': 'animated_gif', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 380, 'h': 380, 'resize': 'fit'}, 'small': {'w': 380, 'h': 380, 'resize': 'fit'}, 'medium': {'w': 380, 'h': 380, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [1, 1], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/Em_c3aOXEAAMccl.mp4'}]}}]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,102121875,102121875,Quite,quitenotquite,"Malmö, Sweden",,Quite - not quite?,http://t.co/wlWDeCfju9,False,39,289,0,Tue Jan 05 17:57:19 +0000 2010,0,,,True,False,19,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,True,False,False,False,none,"[{'url': 'http://t.co/wlWDeCfju9', 'expanded_url': 'http://www.myspace.com/quiteswe', 'display_url': 'myspace.com/quiteswe', 'indices': [0, 22]}]",[],Thu Apr 01 23:20:09 +0000 2010,11449835482.0,11449835482,Såhär kan det Dan se ut när vi jammar.  http://yfrog.com/9gwqkj,False,[],[],[],[],"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,,,,,False,1.0,4.0,False,False,sv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,115340223,115340223,Davis Chase,marikadosb,,,,,False,24,94,0,Thu Feb 18 10:37:14 +0000 2010,0,,,False,False,9,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,http://pbs.twimg.com/profile_images/703260728/597_normal.gif,https://pbs.twimg.com/profile_images/703260728/597_normal.gif,0099CC,FFF8AD,F6FFD1,333333,True,False,False,False,False,False,False,none,,[],Sun Mar 07 18:48:18 +0000 2010,10131117440.0,10131117440,occupation... .http://is.gd/9TWOg,False,[],[],[],[],"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,,,,,False,0.0,1.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15446034,15446034,jamesdarrigo,jamesdarrigo,,,Musician ⭐️ Saxophone ⭐️ Flute ⭐️ Clarinet ⭐️ Vegas ⭐️ Dogs are the best!,https://t.co/wISWycWcO8,False,480,1003,13,Tue Jul 15 21:07:19 +0000 2008,15,,,False,False,1066,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/848710196209696768/vq_yBijd_normal.jpg,https://pbs.twimg.com/profile_images/848710196209696768/vq_yBijd_normal.jpg,06506B,345D0E,070808,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/wISWycWcO8', 'expanded_url': 'http://www.reverbnation.com/jamesdarrigo', 'display_url': 'reverbnation.com/jamesdarrigo', 'indices': [0, 23]}]",[],Mon Oct 09 05:30:01 +0000 2017,9.172608419210854e+17,917260841921085440,The best way to help Vegas heal is to come to Vegas @frankiemoreno donating proceeds from Oct 12 show to victims… https://t.co/v1sKsm3geA,True,[],[],"[{'screen_name': 'frankiemoreno', 'name': 'Frankie Moreno', 'id': 187294445, 'id_str': '187294445', 'indices': [52, 66]}]","[{'url': 'https://t.co/v1sKsm3geA', 'expanded_url': 'https://twitter.com/i/web/status/917260841921085440', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [114, 137]}]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2.0,9.0,False,False,en,https://pbs.twimg.com/profile_banners/15446034/1491183255,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,978272886795448321,978272886795448321,Khanya,Khanya61447802,In AS,,Holloy I like spost and family and like music funy shows and cartoon but so some thing like more than things that I have shed with you it is eating,,False,54,211,0,Mon Mar 26 14:10:06 +0000 2018,139,,,False,False,141,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/978275659465265152/AvIdeKus_normal.jpg,https://pbs.twimg.com/profile_images/978275659465265152/AvIdeKus_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,[],Mon Apr 02 10:05:34 +0000 2018,9.807480636135752e+17,980748063613575170,Yasani ubonile ba ndiku followishile nawe ndisendele video@LuhleMayo,False,[],[],[],[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0.0,0.0,False,False,tl,https://pbs.twimg.com/profile_banners/978272886795448321/1522074056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32539619,32539619,Ahura Mazda,ahuramazda666,West India,,Dedicated to all things mystic - I see myself as the reincarnation of an old Persion God.,http://t.co/CpgwlvCNcA,False,963,1750,10,Fri Apr 17 19:44:40 +0000 2009,4,,,False,False,190,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/143042252/twitter1_normal.jpg,https://pbs.twimg.com/profile_images/143042252/twitter1_normal.jpg,088253,D3D2CF,E3E2DE,634047,True,False,False,False,False,False,False,none,"[{'url': 'http://t.co/CpgwlvCNcA', 'expanded_url': 'http://www.gammelfleisch.at', 'display_url': 'gammelfleisch.at', 'indices': [0, 22]}]",[],Tue Nov 10 10:06:54 +0000 2015,6.640214028072182e+17,664021402807218177,"RT @datenschmutz: Im schlimmsten Fall muss man zukünftig bezahlen, um verlinken zu dürfen ► https://t.co/o9nEoMvrcr #urheberrecht https://t…",False,"[{'text': 'urheberrecht', 'indices': [116, 129]}]",[],"[{'screen_name': 'datenschmutz', 'name': 'Ritchie Pettauer', 'id': 1223661, 'id_str': '1223661', 'indices': [3, 16]}]","[{'url': 'https://t.co/o9nEoMvrcr', 'expanded_url': 'http://bit.ly/1Pmgtdx', 'display_url': 'bit.ly/1Pmgtdx', 'indices': [92, 115]}]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,19.0,0.0,False,False,de,,,,False,Tue Nov 10 10:06:18 +0000 2015,6.640212557842637e+17,664021255784263680,"Im schlimmsten Fall muss man zukünftig bezahlen, um verlinken zu dürfen ► https://t.co/o9nEoMvrcr #urheberrecht https://t.co/L7kqKMphY0",False,"[{'text': 'urheberrecht', 'indices': [98, 111]}]",[],[],"[{'url': 'https://t.co/o9nEoMvrcr', 'expanded_url': 'http://bit.ly/1Pmgtdx', 'display_url': 'bit.ly/1Pmgtdx', 'indices': [74, 97]}]","[{'id': 664021060245979138, 'id_str': '664021060245979138', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/CTcTottXAAIPTRm.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CTcTottXAAIPTRm.jpg', 'url': 'https://t.co/L7kqKMphY0', 'display_url': 'pic.twitter.com/L7kqKMphY0', 'expanded_url': 'https://twitter.com/datenschmutz/status/664021255784263680/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}}}]","[{'id': 664021060245979138, 'id_str': '664021060245979138', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/CTcTottXAAIPTRm.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CTcTottXAAIPTRm.jpg', 'url': 'https://t.co/L7kqKMphY0', 'display_url': 'pic.twitter.com/L7kqKMphY0', 'expanded_url': 'https://twitter.com/datenschmutz/status/664021255784263680/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}}}]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,19.0,15.0,False,False,False,de,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16832632,16832632,Kevin Rudd,MrKRudd,Australia,,Former PM of Australia. Pres. of @AsiaPolicy Father of 3 great kids w/ my wife Thérèse. QLD born & raised.,https://t.co/ODfNMj90oQ,False,1559906,401408,6965,Fri Oct 17 23:08:00 +0000 2008,785,,,True,True,13718,,False,False,False,003164,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/894749222007787520/zaylpNAl_normal.jpg,https://pbs.twimg.com/profile_images/894749222007787520/zaylpNAl_normal.jpg,004ED9,FFFFFF,E3EDFB,5B5B5B,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/ODfNMj90oQ', 'expanded_url': 'https://kevinrudd.com/books', 'display_url': 'kevinrudd.com/books', 'indices': [0, 23]}]",[],Wed Nov 18 08:00:01 +0000 2020,1.3289712058235003e+18,1328971205823500289,Murdoch is a cancer on democracy. Murdoch is a protection racket for the far right. And he runs mafia-type tactics… https://t.co/wZmKctd10c,True,[],[],[],"[{'url': 'https://t.co/wZmKctd10c', 'expanded_url': 'https://twitter.com/i/web/status/1328971205823500289', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,,,,,,,,False,1552.0,7399.0,False,False,en,https://pbs.twimg.com/profile_banners/16832632/1590373170,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,130146132,130146132,Reina Mendez,Reinamendezz,"Los Angeles, CA. USA",,,https://t.co/bconAPUYDU,True,708,1937,7,Tue Apr 06 13:04:59 +0000 2010,348,,,True,False,11886,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1228075202145177601/gfz7X_BI_normal.jpg,https://pbs.twimg.com/profile_images/1228075202145177601/gfz7X_BI_normal.jpg,9266CC,FFFFFF,252429,666666,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/bconAPUYDU', 'expanded_url': 'https://www.facebook.com/RMPRG', 'display_url': 'facebook.com/RMPRG', 'indices': [0, 23]}]",[],,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/130146132/1351529226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
