,id,id_str,name,screen_name,location,description,url,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type,profile_location.id,profile_location.url,profile_location.place_type,profile_location.name,profile_location.full_name,profile_location.country_code,profile_location.country,profile_location.contained_within,profile_location.bounding_box,entities.description.urls,status.created_at,status.id,status.id_str,status.text,status.truncated,status.entities.hashtags,status.entities.symbols,status.entities.user_mentions,status.entities.urls,status.source,status.in_reply_to_status_id,status.in_reply_to_status_id_str,status.in_reply_to_user_id,status.in_reply_to_user_id_str,status.in_reply_to_screen_name,status.geo,status.coordinates,status.place,status.contributors,status.retweeted_status.created_at,status.retweeted_status.id,status.retweeted_status.id_str,status.retweeted_status.text,status.retweeted_status.truncated,status.retweeted_status.entities.hashtags,status.retweeted_status.entities.symbols,status.retweeted_status.entities.user_mentions,status.retweeted_status.entities.urls,status.retweeted_status.source,status.retweeted_status.in_reply_to_status_id,status.retweeted_status.in_reply_to_status_id_str,status.retweeted_status.in_reply_to_user_id,status.retweeted_status.in_reply_to_user_id_str,status.retweeted_status.in_reply_to_screen_name,status.retweeted_status.geo,status.retweeted_status.coordinates,status.retweeted_status.place,status.retweeted_status.contributors,status.retweeted_status.is_quote_status,status.retweeted_status.retweet_count,status.retweeted_status.favorite_count,status.retweeted_status.favorited,status.retweeted_status.retweeted,status.retweeted_status.possibly_sensitive,status.retweeted_status.lang,status.is_quote_status,status.retweet_count,status.favorite_count,status.favorited,status.retweeted,status.lang,profile_location,entities.url.urls,status.possibly_sensitive,profile_banner_url,status.retweeted_status.quoted_status_id,status.retweeted_status.quoted_status_id_str,status.quoted_status_id,status.quoted_status_id_str,status.entities.media,status.extended_entities.media,status.retweeted_status.entities.media,status.retweeted_status.extended_entities.media,status.retweeted_status.scopes.followers,status.place.id,status.place.url,status.place.place_type,status.place.name,status.place.full_name,status.place.country_code,status.place.country,status.place.contained_within,status.place.bounding_box.type,status.place.bounding_box.coordinates,status.retweeted_status.place.id,status.retweeted_status.place.url,status.retweeted_status.place.place_type,status.retweeted_status.place.name,status.retweeted_status.place.full_name,status.retweeted_status.place.country_code,status.retweeted_status.place.country,status.retweeted_status.place.contained_within,status.retweeted_status.place.bounding_box.type,status.retweeted_status.place.bounding_box.coordinates
0,1930184042,1930184042,Shahrzad Naseri,shahrzad_naseri,"Massachusetts, USA",PhD Candidate @UMassAmherst,,False,154,584,0,Thu Oct 03 10:08:06 +0000 2013,1206,,,False,False,54,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1188564192204414978/4EklkxNJ_normal.jpg,https://pbs.twimg.com/profile_images/1188564192204414978/4EklkxNJ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,cd450c94084cbf9b,https://api.twitter.com/1.1/geo/id/cd450c94084cbf9b.json,unknown,"Massachusetts, USA","Massachusetts, USA",,,[],,[],Mon Jul 27 14:23:13 +0000 2020,1.287755427741143e+18,1287755427741143040,RT @sigir2020: #sigir2020 #sigir Playback for the Keynote given by Prof. Geoffrey Hinton @geoffreyhinton is available at https://t.co/LzKoI…,False,"[{'text': 'sigir2020', 'indices': [15, 25]}, {'text': 'sigir', 'indices': [26, 32]}]",[],"[{'screen_name': 'geoffreyhinton', 'name': 'Geoffrey Hinton', 'id': 1084212657761148928, 'id_str': '1084212657761148928', 'indices': [89, 104]}]",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,Mon Jul 27 04:11:27 +0000 2020,1.2876014710690734e+18,1287601471069073411,#sigir2020 #sigir Playback for the Keynote given by Prof. Geoffrey Hinton @geoffreyhinton is available at https://t.co/LzKoIAWPGt!,False,"[{'text': 'sigir2020', 'indices': [0, 10]}, {'text': 'sigir', 'indices': [11, 17]}]",[],"[{'screen_name': 'geoffreyhinton', 'name': 'Geoffrey Hinton', 'id': 1084212657761148928, 'id_str': '1084212657761148928', 'indices': [74, 89]}]","[{'url': 'https://t.co/LzKoIAWPGt', 'expanded_url': 'https://sigir-schedule.baai.ac.cn/live/Keynote-I', 'display_url': 'sigir-schedule.baai.ac.cn/live/Keynote-I', 'indices': [106, 129]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,21.0,47.0,False,False,False,en,False,21.0,0.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,137394430,137394430,Greg Michener,gregmichener,Rio de Janeiro,"Cdn Professor at FGV Rio, married to mineira brava, specializes in the politics of transparency. Research: https://t.co/DPdB7ghcKT",http://t.co/5e2Hqag830,False,796,647,47,Mon Apr 26 16:35:36 +0000 2010,155,,,True,False,1333,,False,False,False,8395A1,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/742792758096760834/tJl2ELXE_normal.jpg,https://pbs.twimg.com/profile_images/742792758096760834/tJl2ELXE_normal.jpg,FF691F,829D5E,99CC33,3E4415,True,True,False,False,False,False,False,none,,,,,,,,,,"[{'url': 'https://t.co/DPdB7ghcKT', 'expanded_url': 'http://bit.ly/2NLLNEr', 'display_url': 'bit.ly/2NLLNEr', 'indices': [107, 130]}]",Wed Oct 28 01:37:59 +0000 2020,1.3212649217289953e+18,1321264921728995330,"If Things Feel Bleak, It’s Because This Way of Life is Coming to an End by @umairh https://t.co/3zknXBwQIu",False,[],[],"[{'screen_name': 'umairh', 'name': '❤️', 'id': 14321959, 'id_str': '14321959', 'indices': [75, 82]}]","[{'url': 'https://t.co/3zknXBwQIu', 'expanded_url': 'https://eand.co/if-things-feel-bleak-its-because-this-way-of-life-is-coming-to-an-end-ae722667dcdd?source=social.tw', 'display_url': 'eand.co/if-things-feel…', 'indices': [83, 106]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,False,False,en,,"[{'url': 'http://t.co/5e2Hqag830', 'expanded_url': 'http://gregmichener.com', 'display_url': 'gregmichener.com', 'indices': [0, 22]}]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,91697719,91697719,Frank T. Hopfgartner,FTHopf,Sheffield,"Senior Lecturer in Data Science and Head of the IR Group at @SheffieldUni, working on Information Retrieval, #RecSys, and Quantified Self.",https://t.co/I8LhW54U7V,False,833,615,43,Sun Nov 22 01:41:50 +0000 2009,743,,,True,False,1318,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/3310758389/fe7d12d41d859faaa79c8cd8341f50d3_normal.jpeg,https://pbs.twimg.com/profile_images/3310758389/fe7d12d41d859faaa79c8cd8341f50d3_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,[],Tue Nov 10 21:01:25 +0000 2020,1.3262687517178184e+18,1326268751717818368,"RT @ziqizhang_zz: We have a job post on data analytics focusing on social media data mining and recommender systems, please help spread the…",False,[],[],"[{'screen_name': 'ziqizhang_zz', 'name': 'Ziqi Zhang', 'id': 1428046225, 'id_str': '1428046225', 'indices': [3, 16]}]",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,Tue Nov 10 20:13:15 +0000 2020,1.3262566285350748e+18,1326256628535074826,"We have a job post on data analytics focusing on social media data mining and recommender systems, please help spre… https://t.co/xf7UPHnKZB",True,[],[],[],"[{'url': 'https://t.co/xf7UPHnKZB', 'expanded_url': 'https://twitter.com/i/web/status/1326256628535074826', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3.0,3.0,False,False,False,en,False,3.0,0.0,False,False,en,,"[{'url': 'https://t.co/I8LhW54U7V', 'expanded_url': 'http://www.hopfgartner.co.uk/', 'display_url': 'hopfgartner.co.uk', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1273521451212181505,1273521451212181505,jackson_k_Katie,jackson_katie_k,"Texas, USA",2020 is a bit tired. if I could dive into 2021 And it's gon' be superb😂,,True,116,3395,0,Thu Jun 18 07:42:52 +0000 2020,220,,,False,False,113,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318553247452450819/ArOOEFq2_normal.jpg,https://pbs.twimg.com/profile_images/1318553247452450819/ArOOEFq2_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,e0060cda70f5f341,https://api.twitter.com/1.1/geo/id/e0060cda70f5f341.json,unknown,"Texas, USA","Texas, USA",,,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1273521451212181505/1603742937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4905833366,4905833366,Peter,petersli93,,,,True,51,225,1,Sun Feb 14 08:48:01 +0000 2016,567,,,False,False,29,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324126631712198657/NdPVyfLV_normal.png,https://pbs.twimg.com/profile_images/1324126631712198657/NdPVyfLV_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,864922788,864922788,ADNAN HAIDAR RANA,AdiJoyia,"Dresden, Germany","Research Assistant (TU Dresden),PhD Scholar (Artificial Intelligence/Machine Learning)#Data Scientist #Lecturer #NLP #AI4DI",,False,185,1957,2,Sat Oct 06 16:18:50 +0000 2012,9799,,,True,False,1681,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220320034175770625/6HpHDzZT_normal.jpg,https://pbs.twimg.com/profile_images/1220320034175770625/6HpHDzZT_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,[],Wed Oct 28 08:44:49 +0000 2020,1.321372337158017e+18,1321372337158017029,RT @psteinb_: Interested in best practices on teaching scientific computing and HPC? Then have a look at this interesting workshop: https:/…,False,[],[],"[{'screen_name': 'psteinb_', 'name': 'Peter Steinbach', 'id': 951707541221920769, 'id_str': '951707541221920769', 'indices': [3, 12]}]",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,Mon Oct 26 12:54:07 +0000 2020,1.3207102968189297e+18,1320710296818929667,Interested in best practices on teaching scientific computing and HPC? Then have a look at this interesting worksho… https://t.co/5YCNr1Uysa,True,[],[],[],"[{'url': 'https://t.co/5YCNr1Uysa', 'expanded_url': 'https://twitter.com/i/web/status/1320710296818929667', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,9.0,13.0,False,False,False,en,False,9.0,0.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27546319,27546319,Elena Glassman,roboticwrestler,"Cambridge, MA",Human. Asst Professor of Computer Science at Harvard University @HSEAS and @RadInstitute specializing in human-computer interaction. MIT EECS PhD'16.,https://t.co/l1j8PvrfCl,False,5134,5637,207,Mon Mar 30 00:51:52 +0000 2009,59378,,,True,False,21225,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1047978249446469640/0s5SdWHj_normal.jpg,https://pbs.twimg.com/profile_images/1047978249446469640/0s5SdWHj_normal.jpg,222222,A8C7F7,C0DFEC,333333,True,False,False,False,False,False,False,none,,,,,,,,,,[],Sat Nov 21 17:25:12 +0000 2020,1.330200604677976e+18,1330200604677976064,"@lsi1123 @ckfinite I had no idea it was recorded! Thank you, @ckfinite!",False,[],[],"[{'screen_name': 'lsi1123', 'name': 'Marty Glassman', 'id': 1861187570, 'id_str': '1861187570', 'indices': [0, 8]}, {'screen_name': 'ckfinite', 'name': 'Benjamin Chung', 'id': 315010487, 'id_str': '315010487', 'indices': [9, 18]}, {'screen_name': 'ckfinite', 'name': 'Benjamin Chung', 'id': 315010487, 'id_str': '315010487', 'indices': [61, 70]}]",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1330065378769297410,1330065378769297410,1861187570,1861187570,lsi1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,False,False,en,,"[{'url': 'https://t.co/l1j8PvrfCl', 'expanded_url': 'http://glassmanlab.seas.harvard.edu/', 'display_url': 'glassmanlab.seas.harvard.edu', 'indices': [0, 23]}]",,https://pbs.twimg.com/profile_banners/27546319/1541110424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,119512412,119512412,Gabriella Kazai,gkazai,"London, England","@Microsoft Core Relevance. Data sci, IR, crowdsourcing, RecSys, ML, HCOMP, HCIR.",,False,730,749,43,Wed Mar 03 21:49:53 +0000 2010,866,,,False,False,1426,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/592776045780201472/aHzCogU4_normal.png,https://pbs.twimg.com/profile_images/592776045780201472/aHzCogU4_normal.png,9266CC,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,[],Sun Nov 08 09:26:25 +0000 2020,1.325369073199444e+18,1325369073199443968,"RT @AndrewYNg: Thank you @KamalaHarris for setting this wonderful example to my daughter Nova. As a father, I loved this thought.",False,[],[],"[{'screen_name': 'AndrewYNg', 'name': 'Andrew Ng', 'id': 216939636, 'id_str': '216939636', 'indices': [3, 13]}, {'screen_name': 'KamalaHarris', 'name': 'Kamala Harris', 'id': 30354991, 'id_str': '30354991', 'indices': [25, 38]}]",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,Sun Nov 08 02:31:26 +0000 2020,1.325264639525974e+18,1325264639525974017,"Thank you @KamalaHarris for setting this wonderful example to my daughter Nova. As a father, I loved this thought. https://t.co/4iZ5jmo9Nq",False,[],[],"[{'screen_name': 'KamalaHarris', 'name': 'Kamala Harris', 'id': 30354991, 'id_str': '30354991', 'indices': [10, 23]}]","[{'url': 'https://t.co/4iZ5jmo9Nq', 'expanded_url': 'https://twitter.com/KamalaHarris/status/1325251050509639681', 'display_url': 'twitter.com/KamalaHarris/s…', 'indices': [115, 138]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,140.0,2891.0,False,False,False,en,True,140.0,0.0,False,False,en,,,,https://pbs.twimg.com/profile_banners/119512412/1438722620,1.3252510505096397e+18,1325251050509639681,1.3252510505096397e+18,1325251050509639681,,,,,,,,,,,,,,,,,,,,,,,,,
0,40156543,40156543,Grace Hui Yang,GraceHuiYang,"Washington, DC","Associate Professor of Computer Science, Georgetown University",https://t.co/InOvBRQPXC,False,544,209,13,Fri May 15 02:40:28 +0000 2009,546,,,False,False,422,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/462100281237729280/E0zLgIaj_normal.jpeg,https://pbs.twimg.com/profile_images/462100281237729280/E0zLgIaj_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,[],Fri Nov 13 22:15:28 +0000 2020,1.3273745467107492e+18,1327374546710749191,My talk on academic writing https://t.co/koTibsGU4F. Hope this is helpful for non-native English writers,False,[],[],[],"[{'url': 'https://t.co/koTibsGU4F', 'expanded_url': 'https://www.slideshare.net/GraceHuiYang/how-to-make-a-good-research-argument', 'display_url': 'slideshare.net/GraceHuiYang/h…', 'indices': [28, 51]}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2.0,10.0,False,False,en,,"[{'url': 'https://t.co/InOvBRQPXC', 'expanded_url': 'http://www.cs.georgetown.edu/~huiyang', 'display_url': 'cs.georgetown.edu/~huiyang', 'indices': [0, 23]}]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,816586022599307264,816586022599307264,TheUniverse,gagak_emprit,Singapore,Kaum Marjimpe 02,,False,509,4480,4,Wed Jan 04 10:04:14 +0000 2017,31359,,,False,False,14547,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1147852936120287232/pT1s_D6b_normal.png,https://pbs.twimg.com/profile_images/1147852936120287232/pT1s_D6b_normal.png,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,[],Thu Nov 19 09:24:45 +0000 2020,1.3293549173921792e+18,1329354917392179200,RT @Nopju666: The Israeli occupation is torturing Palestinian children https://t.co/OEFCTBkdXa,False,[],[],"[{'screen_name': 'Nopju666', 'name': 'Enge', 'id': 1206531748642934784, 'id_str': '1206531748642934784', 'indices': [3, 12]}]",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,Thu Nov 19 01:07:49 +0000 2020,1.3292298627798917e+18,1329229862779891713,The Israeli occupation is torturing Palestinian children https://t.co/OEFCTBkdXa,False,[],[],[],[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,29.0,88.0,False,False,False,en,False,29.0,0.0,False,False,en,,,False,https://pbs.twimg.com/profile_banners/816586022599307264/1526346951,,,,,"[{'id': 1329229713441771522, 'id_str': '1329229713441771522', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EnJfYb6XUAINN76.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnJfYb6XUAINN76.jpg', 'url': 'https://t.co/OEFCTBkdXa', 'display_url': 'pic.twitter.com/OEFCTBkdXa', 'expanded_url': 'https://twitter.com/Nopju666/status/1329229862779891713/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 447, 'h': 604, 'resize': 'fit'}, 'small': {'w': 447, 'h': 604, 'resize': 'fit'}, 'medium': {'w': 447, 'h': 604, 'resize': 'fit'}}, 'source_status_id': 1329229862779891713, 'source_status_id_str': '1329229862779891713', 'source_user_id': 1206531748642934784, 'source_user_id_str': '1206531748642934784'}]","[{'id': 1329229713441771522, 'id_str': '1329229713441771522', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EnJfYb6XUAINN76.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnJfYb6XUAINN76.jpg', 'url': 'https://t.co/OEFCTBkdXa', 'display_url': 'pic.twitter.com/OEFCTBkdXa', 'expanded_url': 'https://twitter.com/Nopju666/status/1329229862779891713/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 447, 'h': 604, 'resize': 'fit'}, 'small': {'w': 447, 'h': 604, 'resize': 'fit'}, 'medium': {'w': 447, 'h': 604, 'resize': 'fit'}}, 'source_status_id': 1329229862779891713, 'source_status_id_str': '1329229862779891713', 'source_user_id': 1206531748642934784, 'source_user_id_str': '1206531748642934784'}, {'id': 1329229731808604162, 'id_str': '1329229731808604162', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EnJfZgVW8AI9SbZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnJfZgVW8AI9SbZ.jpg', 'url': 'https://t.co/OEFCTBkdXa', 'display_url': 'pic.twitter.com/OEFCTBkdXa', 'expanded_url': 'https://twitter.com/Nopju666/status/1329229862779891713/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 447, 'h': 604, 'resize': 'fit'}, 'small': {'w': 447, 'h': 604, 'resize': 'fit'}, 'medium': {'w': 447, 'h': 604, 'resize': 'fit'}}, 'source_status_id': 1329229862779891713, 'source_status_id_str': '1329229862779891713', 'source_user_id': 1206531748642934784, 'source_user_id_str': '1206531748642934784'}]","[{'id': 1329229713441771522, 'id_str': '1329229713441771522', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/EnJfYb6XUAINN76.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnJfYb6XUAINN76.jpg', 'url': 'https://t.co/OEFCTBkdXa', 'display_url': 'pic.twitter.com/OEFCTBkdXa', 'expanded_url': 'https://twitter.com/Nopju666/status/1329229862779891713/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 447, 'h': 604, 'resize': 'fit'}, 'small': {'w': 447, 'h': 604, 'resize': 'fit'}, 'medium': {'w': 447, 'h': 604, 'resize': 'fit'}}}]","[{'id': 1329229713441771522, 'id_str': '1329229713441771522', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/EnJfYb6XUAINN76.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnJfYb6XUAINN76.jpg', 'url': 'https://t.co/OEFCTBkdXa', 'display_url': 'pic.twitter.com/OEFCTBkdXa', 'expanded_url': 'https://twitter.com/Nopju666/status/1329229862779891713/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 447, 'h': 604, 'resize': 'fit'}, 'small': {'w': 447, 'h': 604, 'resize': 'fit'}, 'medium': {'w': 447, 'h': 604, 'resize': 'fit'}}}, {'id': 1329229731808604162, 'id_str': '1329229731808604162', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/EnJfZgVW8AI9SbZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnJfZgVW8AI9SbZ.jpg', 'url': 'https://t.co/OEFCTBkdXa', 'display_url': 'pic.twitter.com/OEFCTBkdXa', 'expanded_url': 'https://twitter.com/Nopju666/status/1329229862779891713/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 447, 'h': 604, 'resize': 'fit'}, 'small': {'w': 447, 'h': 604, 'resize': 'fit'}, 'medium': {'w': 447, 'h': 604, 'resize': 'fit'}}}]",,,,,,,,,,,,,,,,,,,,,
